panel	context	model	fraction	compound	source_pair	reference_loss	predicted_loss	reference_rank	predicted_rank	reference_top	predicted_top	recovered	n_compounds	k	overlap	recall	recall_lower95	recall_upper95	random_expected_overlap	random_expected_recall	enrichment_over_random	random_overlap_lower95	random_overlap_upper95	random_selection_tail_probability	signed_spearman	signed_pearson	selected_reference_loss_mean	selected_reference_loss_min	selected_reference_loss_max	true_top_loss_mean	n_bootstrap	interpretation	measured_repeat_recall	measured_repeat_overlap	recall_difference_from_repeat	difference_lower95	difference_upper95
Figure6d	A_all_heldout	BF_Ridge100	0.05	Compound_d4250270	assayworks_prod_25|assayworks_prod_27	-0.06068598500628402	-0.010131455624829692	204.0	154.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Compound_da37299a	assayworks_prod_26|assayworks_prod_27	-0.04071574895710182	-0.011669100375219954	173.0	157.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Compound_ece6ff71	assayworks_prod_26|assayworks_prod_27	-0.01587174047270544	-0.018619846499309485	130.0	175.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Compound_ed9176f4	assayworks_prod_25|assayworks_prod_26	0.049863190241697934	0.04213273316086209	63.0	54.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Compound_efdb9516	assayworks_prod_26|assayworks_prod_30	0.12019072950520703	0.11590602542172541	32.0	27.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Compound_f7ec0534	assayworks_prod_25|assayworks_prod_27	0.10147676703290666	0.018019032795989244	36.0	81.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Compound_fbc541b1	assayworks_prod_25|assayworks_prod_27	0.013433872789576445	-0.03892132318548602	87.0	207.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Coumarin	assayworks_prod_25|assayworks_prod_27	0.023930878310963757	0.024718420284888368	77.0	70.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Dapagliflozin	assayworks_prod_25|assayworks_prod_26	-0.00010542884684988652	0.004919356101635044	107.0	114.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Dapsone	assayworks_prod_26|assayworks_prod_30	-0.08119052985980026	-0.014084343063446818	213.0	162.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Darifenacin	assayworks_prod_25|assayworks_prod_26	0.12846119475105539	0.06882966612885436	30.0	40.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Darunavir	assayworks_prod_25|assayworks_prod_26	-0.00010206118442007694	0.010109697496056317	106.0	102.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Dasatinib	assayworks_prod_25|assayworks_prod_27	0.38232631576449977	0.4142545950259043	2.0	2.0	True	True	True																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Deferiprone	assayworks_prod_25|assayworks_prod_26	-0.02804568264147507	0.011528085317137778	151.0	100.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Demeclocycline	assayworks_prod_25|assayworks_prod_27	0.01823223711571833	0.032134906789023046	82.0	64.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Desloratadine	assayworks_prod_26|assayworks_prod_30	0.16794753316418687	0.15787247249715708	19.0	16.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Desogestrel	assayworks_prod_25|assayworks_prod_27	-0.009281835586264484	-0.011691266672600219	124.0	158.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Diatrizoic acid	assayworks_prod_25|assayworks_prod_26	0.009517641333134305	0.0012307356791228501	93.0	123.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Dibutyl phthalate	assayworks_prod_26|assayworks_prod_27	-0.06762382193751953	-0.031223342352336633	208.0	201.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Diclofenac	assayworks_prod_25|assayworks_prod_27	-0.11990355721850324	-0.004917222148782145	217.0	141.0	False	False	False																									
