reporter_index,metric_index,reporter_slug,short_name,tier,metric,source_column,value,threshold,scaled_margin,passes
22,2,chromatin_h2bc21,H2BC21,quantitative_proxy,Amplitude,magnitude_variance_ratio,0.61796238750515,"[0.5, 1.5]",0.23592477501029996,True
22,3,chromatin_h2bc21,H2BC21,quantitative_proxy,Top-5%,top5pct_recall,0.74,0.6,0.35000000000000003,True
22,4,chromatin_h2bc21,H2BC21,quantitative_proxy,Reliability,reliability,0.580774506626757,0.3,0.4011064380382243,True
23,0,plasma_membrane_atp1b3,ATP1B3,quantitative_proxy,Recovery,ensemble_recoverability_r,0.7553579532449395,0.7,0.18452651081646507,True
23,1,plasma_membrane_atp1b3,ATP1B3,quantitative_proxy,Rank,magnitude_spearman,0.787051375051375,0.7,0.2901712501712502,True
23,2,plasma_membrane_atp1b3,ATP1B3,quantitative_proxy,Amplitude,magnitude_variance_ratio,0.810088999533144,"[0.5, 1.5]",0.6201779990662879,True
23,3,plasma_membrane_atp1b3,ATP1B3,quantitative_proxy,Top-5%,top5pct_recall,0.8,0.6,0.5000000000000001,True
23,4,plasma_membrane_atp1b3,ATP1B3,quantitative_proxy,Reliability,reliability,0.5016975413704213,0.3,0.2881393448148876,True
24,0,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,pHrodo-dextran Live Cell Dye,quantitative_proxy,Recovery,ensemble_recoverability_r,0.7581907603760246,0.7,0.19396920125341552,True
24,1,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,pHrodo-dextran Live Cell Dye,quantitative_proxy,Rank,magnitude_spearman,0.7996151716151716,0.7,0.3320505720505721,True
24,2,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,pHrodo-dextran Live Cell Dye,quantitative_proxy,Amplitude,magnitude_variance_ratio,0.9039930888567946,"[0.5, 1.5]",0.8079861777135893,True
24,3,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,pHrodo-dextran Live Cell Dye,quantitative_proxy,Top-5%,top5pct_recall,0.86,0.6,0.65,True
