target,screen,gene,representation,n_cells,n_guides,cross_guide_constraint,median_neighbour_phase_distance,median_neighbour_raw_fluor_difference,median_random_raw_fluor_difference,raw_fluor_discrepancy_ratio,median_neighbour_endpoint_rms,median_random_endpoint_rms,endpoint_discrepancy_ratio
FeRhoNox,Biohub_OPS0047,TIMM44,raw_thumbnail,24,4,True,0.9302748231794743,1.1752042435997556,1.0439544196926527,1.1257237111422391,1.864152193069458,1.8334193229675293,1.016762614250183
FeRhoNox,Biohub_OPS0047,TIPARP,phase172,24,4,True,0.8289082047722389,1.0811019994644278,1.2797888806325806,0.844750267661378,1.2633354663848877,1.5828696489334106,0.7981297969818115
FeRhoNox,Biohub_OPS0047,TIPARP,raw_thumbnail,24,4,True,0.8236095745749774,1.6177667135498905,1.2797888806325806,1.2640887399726841,1.4773128032684326,1.5828696489334106,0.9333130121231079
FeRhoNox,Biohub_OPS0047,TIPIN,phase172,24,4,True,0.8490817659896687,0.6580469912252095,0.9183451109796719,0.7165574067500815,0.8665711879730225,1.6733050346374512,0.5178799629211426
FeRhoNox,Biohub_OPS0047,TIPIN,raw_thumbnail,24,4,True,0.8958610262615609,0.9133141580949193,0.9183451109796719,0.9945217186604439,1.6509536504745483,1.6733050346374512,0.9866423606872559
FeRhoNox,Biohub_OPS0047,TLR2,phase172,24,4,True,0.7346465458428583,0.41602760339992484,1.2200753940808136,0.34098515994854056,1.0544698238372803,1.4521125555038452,0.7261626124382019
FeRhoNox,Biohub_OPS0047,TLR2,raw_thumbnail,24,4,True,0.8858466796766397,1.2840351061922983,1.2200753940808136,1.05242275389028,1.4506298303604126,1.4521125555038452,0.9989789128303528
FeRhoNox,Biohub_OPS0047,TLR3,phase172,24,4,True,0.9431402656971288,0.9845629210275613,0.8445991197524676,1.1657162528373388,1.2483431100845337,1.779242992401123,0.7016147375106812
FeRhoNox,Biohub_OPS0047,TLR3,raw_thumbnail,24,4,True,0.9239200954376006,0.8445991197524676,0.8445991197524676,1.0,2.209813117980957,1.779242992401123,1.2419962882995605
FeRhoNox,Biohub_OPS0047,TM2D2,phase172,24,4,True,0.7673739648066373,0.5410294855133373,1.0395389852910708,0.5204513665852071,1.0360008478164673,1.550430417060852,0.6682021021842957
FeRhoNox,Biohub_OPS0047,TM2D2,raw_thumbnail,24,4,True,0.9215399073625701,1.3105503024982026,1.0395389852910708,1.2607033704765278,1.581866979598999,1.550430417060852,1.0202760696411133
FeRhoNox,Biohub_OPS0047,TM7SF3,phase172,24,4,True,0.8205488160268491,1.1282808629700476,1.2483919877232958,0.9037873312754146,1.050840139389038,1.616196632385254,0.6501932740211487
FeRhoNox,Biohub_OPS0047,TM7SF3,raw_thumbnail,24,4,True,0.936036419169636,0.8902000044961793,1.2483919877232958,0.7130773132561075,1.1330249309539795,1.616196632385254,0.701043963432312
FeRhoNox,Biohub_OPS0047,TMA16,phase172,24,4,True,0.8764600928815439,0.6631234888987261,1.0076162131098876,0.6581111739479403,1.040339469909668,1.5321756601333618,0.67899489402771
FeRhoNox,Biohub_OPS0047,TMA16,raw_thumbnail,24,4,True,1.0630357370163608,2.001925008308216,1.0076162131098876,1.9867931681344353,2.126404047012329,1.5321756601333618,1.3878331184387207
FeRhoNox,Biohub_OPS0047,TMED10,phase172,24,4,True,0.8780785499222162,1.0645433486581908,1.0114356336157502,1.0525072612407251,0.9576808214187622,1.683732271194458,0.5687844753265381
FeRhoNox,Biohub_OPS0047,TMED10,raw_thumbnail,24,4,True,0.9169458424109634,1.6268116886445279,1.0114356336157502,1.6084184050633936,1.8407936096191406,1.683732271194458,1.093281626701355
FeRhoNox,Biohub_OPS0047,TMED2,phase172,24,4,True,0.8725840487612179,0.9936338202048234,1.0298955058161856,0.9647909080032104,1.1840872764587402,1.6776169538497925,0.7058150172233582
FeRhoNox,Biohub_OPS0047,TMED2,raw_thumbnail,24,4,True,1.0019747892428021,1.2648173142366521,1.0298955058161856,1.2281025668077776,1.7263708114624023,1.6776169538497925,1.0290613174438477
FeRhoNox,Biohub_OPS0047,TMED4,phase172,24,4,True,0.8095600237791043,0.9209722036116912,1.4447122242875081,0.6374779614437671,1.0496101379394531,1.6792101860046387,0.6250618100166321
FeRhoNox,Biohub_OPS0047,TMED4,raw_thumbnail,24,4,True,0.8856269067471214,0.9824035768144154,1.4447122242875081,0.6799994907628815,1.4079316854476929,1.6792101860046387,0.8384487628936768
FeRhoNox,Biohub_OPS0047,TMEM167A,phase172,24,4,True,0.8911113607085529,1.2604175018473391,0.9673857399870456,1.3029109792999611,0.9990590810775757,1.6332948207855225,0.6116832494735718
FeRhoNox,Biohub_OPS0047,TMEM167A,raw_thumbnail,24,4,True,0.9842333660633666,0.8238870950996613,0.9673857399870456,0.8516634689185041,2.7550463676452637,1.6332948207855225,1.686802864074707
FeRhoNox,Biohub_OPS0047,TMEM63B,phase172,24,4,True,0.8135499330738034,0.6744571731224782,1.259029063219128,0.5356962701067466,1.0670108795166016,1.518265962600708,0.7027825713157654
FeRhoNox,Biohub_OPS0047,TMEM63B,raw_thumbnail,24,4,True,1.041030451305085,1.5529584050148282,1.259029063219128,1.2334571539152335,1.7912133932113647,1.518265962600708,1.1797757148742676
FeRhoNox,Biohub_OPS0047,TMOD4,phase172,24,4,True,0.9031132402795883,1.0809278517382697,0.8482095942050262,1.274364094821818,0.8697966933250427,1.29314124584198,0.6726230978965759
FeRhoNox,Biohub_OPS0047,TMOD4,raw_thumbnail,24,4,True,1.094977712057345,0.6983046533013839,0.8482095942050262,0.8232689869015938,1.3206088542938232,1.29314124584198,1.0212409496307373
FeRhoNox,Biohub_OPS0047,TMX2,phase172,24,4,True,0.8254882758810828,0.8750121814384655,1.0072153790426779,0.8687438651603326,1.3133442401885986,1.7689721584320068,0.7424335479736328
FeRhoNox,Biohub_OPS0047,TMX2,raw_thumbnail,24,4,True,1.000108012222265,1.117162954323493,1.0072153790426779,1.109159944902069,1.900741457939148,1.7689721584320068,1.0744892358779907
FeRhoNox,Biohub_OPS0047,TNFRSF1A,phase172,24,4,True,0.8469751730762585,0.925433225464992,0.7082152974504249,1.3067117143565687,1.0502891540527344,1.3087153434753418,0.8025344610214233
FeRhoNox,Biohub_OPS0047,TNFRSF1A,raw_thumbnail,24,4,True,1.0392735353977702,0.6884268028357274,0.7082152974504249,0.9720586456040472,1.508585810661316,1.3087153434753418,1.1527225971221924
FeRhoNox,Biohub_OPS0047,TNRC6A,phase172,24,4,True,0.9419306693780665,1.5429454820843485,0.857350864790914,1.7996663273450286,1.0407562255859375,1.532999038696289,0.6789020895957947
FeRhoNox,Biohub_OPS0047,TNRC6A,raw_thumbnail,24,4,True,0.8854316551406385,1.8673174141307118,0.857350864790914,2.1780084336721384,1.722416639328003,1.532999038696289,1.1235601902008057
FeRhoNox,Biohub_OPS0047,TOMM20,phase172,24,4,True,0.9488769413502787,0.8054218493853286,1.7069992590376875,0.4718349144682003,1.0582841634750366,1.420356273651123,0.7450835704803467
FeRhoNox,Biohub_OPS0047,TOMM20,raw_thumbnail,24,4,True,0.9932227464195531,1.5629010050746537,1.7069992590376875,0.9155838801920345,1.4173939228057861,1.420356273651123,0.9979143738746643
FeRhoNox,Biohub_OPS0047,TONSL,phase172,24,4,True,0.8785079758831248,0.9447053302515798,1.274105827883407,0.7414653552138288,1.2282557487487793,1.7363656759262085,0.7073715925216675
FeRhoNox,Biohub_OPS0047,TONSL,raw_thumbnail,24,4,True,0.8534143350241766,1.3946905496708668,1.274105827883407,1.094642626341157,2.0914905071258545,1.7363656759262085,1.204521894454956
FeRhoNox,Biohub_OPS0047,TOR2A,phase172,24,4,True,0.9555102222108005,0.8279964897143012,0.7422923076020749,1.1154588040782585,1.0516592264175415,1.2700574398040771,0.8280406594276428
FeRhoNox,Biohub_OPS0047,TOR2A,raw_thumbnail,24,4,True,0.9609507922403782,0.8668060140041223,0.7422923076020749,1.1677421483785553,1.261500597000122,1.2700574398040771,0.9932626485824585
FeRhoNox,Biohub_OPS0047,TPT1,phase172,24,4,True,0.8566527663648753,0.8803824852125278,1.1323662173520532,0.7774715208929767,1.0792838335037231,2.013914108276367,0.5359135270118713
FeRhoNox,Biohub_OPS0047,TPT1,raw_thumbnail,24,4,True,0.8110978438340126,1.0364347197519694,1.1323662173520532,0.9152822681125088,1.527916431427002,2.013914108276367,0.7586800456047058
FeRhoNox,Biohub_OPS0047,TRAPPC11,phase172,24,4,True,0.8117183865117832,0.8200844058729286,0.8877269293781462,0.9238025554180256,0.8645371198654175,1.4542940855026245,0.5944719910621643
FeRhoNox,Biohub_OPS0047,TRAPPC11,raw_thumbnail,24,4,True,0.9232755915786639,0.6383056827396232,0.8877269293781462,0.7190338172874366,1.745532512664795,1.4542940855026245,1.2002609968185425
FeRhoNox,Biohub_OPS0047,TRAPPC2L,phase172,24,4,True,0.8876478932167875,1.1659604574956806,0.9066853313373823,1.285959325906223,1.154078483581543,1.7072547674179077,0.6759849190711975
FeRhoNox,Biohub_OPS0047,TRAPPC2L,raw_thumbnail,24,4,True,1.0239332305098956,1.1997360014348721,0.9066853313373823,1.3232109972102815,2.8256380558013916,1.7072547674179077,1.6550769805908203
FeRhoNox,Biohub_OPS0047,TRAPPC4,phase172,24,4,True,0.8645028810623308,0.805044338077834,0.975603594980514,0.8251756576336862,1.0906987190246582,1.6092320680618286,0.6777759194374084
