method_id,reporter_slug,destination_screen,gene_macro_feature_pearson,gene_response_magnitude_spearman
mlp,plasma_membrane_atp1b3,Biohub_OPS0071,0.7507049764196078,0.7093292533292533
mlp,plasma_membrane_slc3a2,Biohub_OPS0003,0.9119583368301392,0.9033419433419432
mlp,plasma_membrane_slc3a2,Biohub_OPS0004,0.925324909389019,0.9162953802953804
mlp,proteasome_psmb7,Biohub_OPS0029,0.6136599412808815,0.7529209791797421
mlp,proteasome_psmb7,Biohub_OPS0070,0.5184917743317783,0.0826032226032226
mlp,recycling_endosome_tfrc,Biohub_OPS0027,0.8331995432575544,0.9342793990822372
mlp,recycling_endosome_tfrc,Biohub_OPS0060,0.8831972728172938,0.9057115737115736
mlp,trans-golgi_vamp3,Biohub_OPS0030,0.5552232884801924,0.5527651327651327
mlp,trans-golgi_vamp3,Biohub_OPS0059,0.5484427139163017,0.485008049008049
gbdt,5xupre,Biohub_OPS0001,0.7915008842945099,0.789065201432397
gbdt,5xupre,Biohub_OPS0005,0.780234569311142,0.7474722994722994
gbdt,5xupre,Biohub_OPS0006,0.7610189944505692,0.7192879432879433
gbdt,5xupre,Biohub_OPS0007,0.7091319426894188,0.7536678096678097
gbdt,5xupre,Biohub_OPS0008,0.7600247070193291,0.7385217185217186
gbdt,5xupre,Biohub_OPS0009,0.7412613451480865,0.6746828786828787
gbdt,actin_filament_fastact_spy555_live_cell_dye,Biohub_OPS0033,0.8977128403882185,0.8859150339150339
gbdt,actin_filament_fastact_spy555_live_cell_dye,Biohub_OPS0065,0.90175087377429,0.9082305442305444
gbdt,actin_filament_fastact_spy555_live_cell_dye,Biohub_OPS0072,0.9232998664180436,0.929898065898066
gbdt,actin_filament_fastact_spy555_live_cell_dye,Biohub_OPS0074,0.9105609940985838,0.9428086388086389
gbdt,actin_filament_fastact_spy555_live_cell_dye,Biohub_OPS0076,0.8646204707523187,0.8845779685779686
gbdt,autophagosome_atg101,Biohub_OPS0031,0.7247098671893278,0.6753232113232113
gbdt,autophagosome_atg101,Biohub_OPS0054,0.6907785621782144,0.6495511815511815
gbdt,autophagosome_map1lc3b,Biohub_OPS0016,0.7106502422442039,0.5212420972420972
gbdt,autophagosome_map1lc3b,Biohub_OPS0017,0.7189476769417524,0.5935292575292576
gbdt,autophagosome_map1lc3b,Biohub_OPS0040,0.6968070970227321,0.5479561159561159
gbdt,caspase_activity_cellevent-caspase_live-cell_dye,Biohub_OPS0050,0.5615222823495666,0.6012400332400333
gbdt,caspase_activity_cellevent-caspase_live-cell_dye,Biohub_OPS0073,0.5521217177932461,0.4452853932853933
gbdt,cell_proliferation_marker_mki67,Biohub_OPS0045,0.5381017920250694,0.5773368373368374
gbdt,cell_proliferation_marker_mki67,Biohub_OPS0057,0.5608472274616361,0.5248499488499488
gbdt,chaperones_hspa1b,Biohub_OPS0028,0.7937426380813122,0.6315030435030435
gbdt,chaperones_hspa1b,Biohub_OPS0072,0.7366323408981165,0.5674843474843475
gbdt,chromalive_488_excitation,Biohub_OPS0002,0.6405338682234287,0.5087746487746487
gbdt,chromalive_488_excitation,Biohub_OPS0051,0.6982903269430002,0.6759147999148
gbdt,chromatin_h2bc21,Biohub_OPS0064,0.6550339087843895,0.6395063555063555
gbdt,chromatin_h2bc21,Biohub_OPS0069,0.7512378791968027,0.7217947817947818
gbdt,clathrin_vesicles_clta,Biohub_OPS0018,0.8956306601564089,0.8945471825471826
gbdt,clathrin_vesicles_clta,Biohub_OPS0019,0.9247853259245554,0.9529813969813968
gbdt,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,Biohub_OPS0053,0.2655815626882638,0.6738340818340819
gbdt,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,Biohub_OPS0064,0.3844876357664664,0.2895685215685216
gbdt,endosome_vps35,Biohub_OPS0013,0.7294564296801885,0.4394520554520554
gbdt,endosome_vps35,Biohub_OPS0025,0.7903611281265815,0.7160907440907441
gbdt,er_golgi_bridge_vapa,Biohub_OPS0020,0.812623086074988,0.886043602043602
gbdt,er_golgi_bridge_vapa,Biohub_OPS0021,0.805346243083477,0.7860871620871621
gbdt,er_golgi_cope,Biohub_OPS0023,0.4526831506130596,0.6435055035055035
gbdt,er_golgi_cope,Biohub_OPS0074,0.4364744698007901,0.5460434940434941
gbdt,er_sec61b,Biohub_OPS0001,0.9376575673619906,0.8008083328083329
gbdt,er_sec61b,Biohub_OPS0005,0.8975696091850599,0.8159805839805839
gbdt,er_sec61b,Biohub_OPS0006,0.8102325350046158,0.7734806778011198
gbdt,er_sec61b,Biohub_OPS0007,0.7933073354264101,0.7439247839247839
gbdt,er_sec61b,Biohub_OPS0008,0.8813413207729658,0.8073706557927678
gbdt,er_sec61b,Biohub_OPS0009,0.8484793330232302,0.7797835197835198
gbdt,fe2+_ferhonox_live-cell_dye,Biohub_OPS0047,0.1316149530466646,0.4355750075750075
gbdt,fe2+_ferhonox_live-cell_dye,Biohub_OPS0067,0.1709078085065508,0.1931791691791692
gbdt,late_endosome_rab7a,Biohub_OPS0014,0.9032108063499132,0.8838332358332358
gbdt,late_endosome_rab7a,Biohub_OPS0026,0.9089386761188508,0.929931941931942
