unit,split,entity_id,rank_low_to_high,rank_percentile,component_index,n_components,biological_category,category_color
Physical screen,Field,Biohub_OPS0007,34,45.83333333333333,1,2,ER/Golgi,#4F9A70
Physical screen,Field,Biohub_OPS0007,34,45.83333333333333,2,2,Stress/PQC,#CC79A7
Physical screen,Field,Biohub_OPS0048,35,47.22222222222222,1,1,Signaling,#7B6597
Physical screen,Field,Biohub_OPS0075,36,48.61111111111111,1,1,Mitochondria,#C85A3C
Physical screen,Field,Biohub_OPS0006,37,50.0,1,2,ER/Golgi,#4F9A70
Physical screen,Field,Biohub_OPS0006,37,50.0,2,2,Stress/PQC,#CC79A7
Physical screen,Field,Biohub_OPS0065,38,51.388888888888886,1,2,Lysosome,#E8943A
Physical screen,Field,Biohub_OPS0065,38,51.388888888888886,2,2,Cytoskeleton,#4FA7B8
Physical screen,Field,Biohub_OPS0042,39,52.77777777777778,1,1,Nucleus,#3E6F9C
Physical screen,Field,Biohub_OPS0063,40,54.166666666666664,1,1,Mitochondria,#C85A3C
Physical screen,Field,Biohub_OPS0009,41,55.55555555555556,1,2,ER/Golgi,#4F9A70
Physical screen,Field,Biohub_OPS0009,41,55.55555555555556,2,2,Stress/PQC,#CC79A7
Physical screen,Field,Biohub_OPS0058,42,56.94444444444444,1,1,Nucleus,#3E6F9C
Physical screen,Field,Biohub_OPS0046,43,58.33333333333333,1,1,Cytoskeleton,#4FA7B8
Physical screen,Field,Biohub_OPS0020,44,59.72222222222222,1,1,ER/Golgi,#4F9A70
Physical screen,Field,Biohub_OPS0012,45,61.11111111111111,1,1,Lysosome,#E8943A
Physical screen,Field,Biohub_OPS0005,46,62.5,1,2,ER/Golgi,#4F9A70
Physical screen,Field,Biohub_OPS0005,46,62.5,2,2,Stress/PQC,#CC79A7
Physical screen,Field,Biohub_OPS0008,47,63.888888888888886,1,2,ER/Golgi,#4F9A70
Physical screen,Field,Biohub_OPS0008,47,63.888888888888886,2,2,Stress/PQC,#CC79A7
Physical screen,Field,Biohub_OPS0021,48,65.27777777777777,1,1,ER/Golgi,#4F9A70
Physical screen,Field,Biohub_OPS0001,49,66.66666666666666,1,2,ER/Golgi,#4F9A70
Physical screen,Field,Biohub_OPS0001,49,66.66666666666666,2,2,Stress/PQC,#CC79A7
Physical screen,Field,Biohub_OPS0027,50,68.05555555555556,1,1,Endosome,#C6A16A
Physical screen,Field,Biohub_OPS0025,51,69.44444444444444,1,1,Endosome,#C6A16A
Physical screen,Field,Biohub_OPS0074,52,70.83333333333333,1,2,ER/Golgi,#4F9A70
Physical screen,Field,Biohub_OPS0074,52,70.83333333333333,2,2,Cytoskeleton,#4FA7B8
Physical screen,Field,Biohub_OPS0072,53,72.22222222222221,1,2,Cytoskeleton,#4FA7B8
Physical screen,Field,Biohub_OPS0072,53,72.22222222222221,2,2,Stress/PQC,#CC79A7
Physical screen,Field,Biohub_OPS0028,54,73.61111111111111,1,1,Stress/PQC,#CC79A7
Physical screen,Field,Biohub_OPS0076,55,75.0,1,1,Cytoskeleton,#4FA7B8
Physical screen,Field,Biohub_OPS0060,56,76.38888888888889,1,1,Endosome,#C6A16A
Physical screen,Field,Biohub_OPS0018,57,77.77777777777777,1,1,Lysosome,#E8943A
Physical screen,Field,Biohub_OPS0014,58,79.16666666666666,1,1,Endosome,#C6A16A
Physical screen,Field,Biohub_OPS0047,59,80.55555555555556,1,1,Signaling,#7B6597
Physical screen,Field,Biohub_OPS0004,60,81.94444444444444,1,1,Plasma Membrane,#9C8C72
Physical screen,Field,Biohub_OPS0039,61,83.33333333333333,1,1,Endosome,#C6A16A
Physical screen,Field,Biohub_OPS0040,62,84.72222222222221,1,1,Lysosome,#E8943A
Physical screen,Field,Biohub_OPS0034,63,86.11111111111111,1,1,Lysosome,#E8943A
Physical screen,Field,Biohub_OPS0066,64,87.5,1,1,Lysosome,#E8943A
Physical screen,Field,Biohub_OPS0003,65,88.88888888888889,1,1,Plasma Membrane,#9C8C72
Physical screen,Field,Biohub_OPS0035,66,90.27777777777777,1,1,ER/Golgi,#4F9A70
Physical screen,Field,Biohub_OPS0044,67,91.66666666666666,1,1,Lysosome,#E8943A
Physical screen,Field,Biohub_OPS0033,68,93.05555555555556,1,1,Cytoskeleton,#4FA7B8
Physical screen,Field,Biohub_OPS0019,69,94.44444444444444,1,1,Lysosome,#E8943A
Physical screen,Field,Biohub_OPS0026,70,95.83333333333333,1,1,Endosome,#C6A16A
Physical screen,Field,Biohub_OPS0037,71,97.22222222222221,1,1,Stress/PQC,#CC79A7
Physical screen,Field,Biohub_OPS0056,72,98.61111111111111,1,1,Lysosome,#E8943A
Physical screen,Field,Biohub_OPS0055,73,100.0,1,1,Lysosome,#E8943A
Physical screen,Gene,Biohub_OPS0067,1,0.0,1,1,Signaling,#7B6597
Physical screen,Gene,Biohub_OPS0073,2,1.3888888888888888,1,1,Stress/PQC,#CC79A7
Physical screen,Gene,Biohub_OPS0077,3,2.7777777777777777,1,1,Signaling,#7B6597
Physical screen,Gene,Biohub_OPS0041,4,4.166666666666666,1,1,Nucleus,#3E6F9C
Physical screen,Gene,Biohub_OPS0070,5,5.555555555555555,1,1,Stress/PQC,#CC79A7
Physical screen,Gene,Biohub_OPS0050,6,6.944444444444445,1,1,Stress/PQC,#CC79A7
Physical screen,Gene,Biohub_OPS0059,7,8.333333333333332,1,1,ER/Golgi,#4F9A70
Physical screen,Gene,Biohub_OPS0053,8,9.722222222222221,1,1,Signaling,#7B6597
Physical screen,Gene,Biohub_OPS0052,9,11.11111111111111,1,1,ER/Golgi,#4F9A70
Physical screen,Gene,Biohub_OPS0069,10,12.5,1,2,Nucleus,#3E6F9C
Physical screen,Gene,Biohub_OPS0069,10,12.5,2,2,Signaling,#7B6597
Physical screen,Gene,Biohub_OPS0002,11,13.88888888888889,1,1,Mitochondria,#C85A3C
Physical screen,Gene,Biohub_OPS0029,12,15.277777777777777,1,1,Stress/PQC,#CC79A7
Physical screen,Gene,Biohub_OPS0016,13,16.666666666666664,1,1,Lysosome,#E8943A
Physical screen,Gene,Biohub_OPS0017,14,18.055555555555554,1,1,Lysosome,#E8943A
Physical screen,Gene,Biohub_OPS0023,15,19.444444444444443,1,1,ER/Golgi,#4F9A70
Physical screen,Gene,Biohub_OPS0054,16,20.833333333333332,1,1,Lysosome,#E8943A
Physical screen,Gene,Biohub_OPS0043,17,22.22222222222222,1,5,ER/Golgi,#4F9A70
Physical screen,Gene,Biohub_OPS0043,17,22.22222222222222,2,5,Cytoskeleton,#4FA7B8
Physical screen,Gene,Biohub_OPS0043,17,22.22222222222222,3,5,Mitochondria,#C85A3C
Physical screen,Gene,Biohub_OPS0043,17,22.22222222222222,4,5,Plasma Membrane,#9C8C72
Physical screen,Gene,Biohub_OPS0043,17,22.22222222222222,5,5,Nucleus,#3E6F9C
Physical screen,Gene,Biohub_OPS0045,18,23.61111111111111,1,2,Peroxisome,#D56C75
Physical screen,Gene,Biohub_OPS0045,18,23.61111111111111,2,2,Nucleus,#3E6F9C
Physical screen,Gene,Biohub_OPS0068,19,25.0,1,1,Mitochondria,#C85A3C
Physical screen,Gene,Biohub_OPS0030,20,26.38888888888889,1,1,ER/Golgi,#4F9A70
Physical screen,Gene,Biohub_OPS0031,21,27.77777777777778,1,1,Lysosome,#E8943A
Physical screen,Gene,Biohub_OPS0011,22,29.166666666666664,1,1,Lysosome,#E8943A
Physical screen,Gene,Biohub_OPS0061,23,30.555555555555554,1,1,Nucleus,#3E6F9C
Physical screen,Gene,Biohub_OPS0064,24,31.944444444444443,1,2,Nucleus,#3E6F9C
Physical screen,Gene,Biohub_OPS0064,24,31.944444444444443,2,2,Signaling,#7B6597
Physical screen,Gene,Biohub_OPS0065,25,33.33333333333333,1,2,Lysosome,#E8943A
Physical screen,Gene,Biohub_OPS0065,25,33.33333333333333,2,2,Cytoskeleton,#4FA7B8
Physical screen,Gene,Biohub_OPS0015,26,34.72222222222222,1,1,Mitochondria,#C85A3C
Physical screen,Gene,Biohub_OPS0013,27,36.11111111111111,1,1,Endosome,#C6A16A
Physical screen,Gene,Biohub_OPS0007,28,37.5,1,2,ER/Golgi,#4F9A70
Physical screen,Gene,Biohub_OPS0007,28,37.5,2,2,Stress/PQC,#CC79A7
Physical screen,Gene,Biohub_OPS0057,29,38.888888888888886,1,2,Peroxisome,#D56C75
Physical screen,Gene,Biohub_OPS0057,29,38.888888888888886,2,2,Nucleus,#3E6F9C
Physical screen,Gene,Biohub_OPS0071,30,40.27777777777778,1,1,Plasma Membrane,#9C8C72
Physical screen,Gene,Biohub_OPS0022,31,41.666666666666664,1,1,Lysosome,#E8943A
Physical screen,Gene,Biohub_OPS0036,32,43.05555555555556,1,1,Nucleus,#3E6F9C
Physical screen,Gene,Biohub_OPS0032,33,44.44444444444444,1,1,Plasma Membrane,#9C8C72
Physical screen,Gene,Biohub_OPS0051,34,45.83333333333333,1,1,Mitochondria,#C85A3C
Physical screen,Gene,Biohub_OPS0006,35,47.22222222222222,1,2,ER/Golgi,#4F9A70
Physical screen,Gene,Biohub_OPS0006,35,47.22222222222222,2,2,Stress/PQC,#CC79A7
Physical screen,Gene,Biohub_OPS0009,36,48.61111111111111,1,2,ER/Golgi,#4F9A70
Physical screen,Gene,Biohub_OPS0009,36,48.61111111111111,2,2,Stress/PQC,#CC79A7
Physical screen,Gene,Biohub_OPS0048,37,50.0,1,1,Signaling,#7B6597
Physical screen,Gene,Biohub_OPS0062,38,51.388888888888886,1,1,Nucleus,#3E6F9C
Physical screen,Gene,Biohub_OPS0008,39,52.77777777777778,1,2,ER/Golgi,#4F9A70
Physical screen,Gene,Biohub_OPS0008,39,52.77777777777778,2,2,Stress/PQC,#CC79A7
Physical screen,Gene,Biohub_OPS0021,40,54.166666666666664,1,1,ER/Golgi,#4F9A70
Physical screen,Gene,Biohub_OPS0075,41,55.55555555555556,1,1,Mitochondria,#C85A3C
Physical screen,Gene,Biohub_OPS0005,42,56.94444444444444,1,2,ER/Golgi,#4F9A70
