split,split_label,reporter_slug,consensus_ko_pearson,q25,q75,n_methods,difficulty,short_name,biological_category,category_color
gene_holdout_main,Gene,lysosome_lysotracker_live-cell_dye,0.9248392219344774,0.8887743149263163,0.929110796749592,10,Readable (≥0.75),LysoTracker live-cell dye,Lysosome,#E8943A
gene_holdout_main,Gene,microtubules_map4,0.8168677599479754,0.7788503807658951,0.8203700067475438,10,Readable (≥0.75),MAP4,Cytoskeleton,#4FA7B8
gene_holdout_main,Gene,microtubules_tubulin,0.71860714521673,0.6918253014485042,0.7233360155899492,10,Intermediate (0.60–0.75),Tubulin*,Cytoskeleton,#4FA7B8
gene_holdout_main,Gene,mitochondria_chromalive_561_excitation,0.792696370681127,0.7802858006209136,0.806920096774896,10,Readable (≥0.75),ChromaLIVE 561 excitation,Mitochondria,#C85A3C
gene_holdout_main,Gene,mitochondria_tomm20,0.68048119072078,0.661625951140498,0.6887009676442378,10,Intermediate (0.60–0.75),TOMM20*,Mitochondria,#C85A3C
gene_holdout_main,Gene,mitochondria_tomm70a,0.7389631509780884,0.7300273325915138,0.7492019094526767,10,Intermediate (0.60–0.75),TOMM70A,Mitochondria,#C85A3C
gene_holdout_main,Gene,nuclear_speckles_srrm2,0.8493885807693005,0.8312417624518276,0.8690576036771138,10,Readable (≥0.75),SRRM2,Nucleus,#3E6F9C
gene_holdout_main,Gene,nuclei_hoechst,0.7314091514050961,0.7196403332302967,0.7497251252084971,10,Intermediate (0.60–0.75),Hoechst*,Nucleus,#3E6F9C
gene_holdout_main,Gene,nuclei_nucleolive_live_cell_dye,0.8201554869612058,0.7207894610551496,0.8381893428042531,10,Readable (≥0.75),NucleoLIVE Live Cell dye,Nucleus,#3E6F9C
gene_holdout_main,Gene,nucleoli_npm1,0.5333916893642809,0.49655318279854127,0.5424973476988574,10,Hard (<0.60),NPM1*,Nucleus,#3E6F9C
gene_holdout_main,Gene,nucleolus-dfc_fbl,0.7793305455396573,0.7502533475557963,0.7951266796638568,10,Readable (≥0.75),FBL,Nucleus,#3E6F9C
gene_holdout_main,Gene,nucleolus-gc_npm3,0.8214593877394993,0.7361166233817736,0.8265995272745688,10,Readable (≥0.75),NPM3,Nucleus,#3E6F9C
gene_holdout_main,Gene,oxidative_stress_cellrox_live-cell_dye,0.661024148389697,0.6516314591261714,0.6697312945189575,10,Intermediate (0.60–0.75),CellROX live-cell dye,Signaling,#7B6597
gene_holdout_main,Gene,p21,0.607278133481741,0.5973892613624533,0.6122177675490579,10,Intermediate (0.60–0.75),p21*,Signaling,#7B6597
gene_holdout_main,Gene,p53,0.5697864287098249,0.544096601648877,0.5727351389576991,10,Hard (<0.60),p53*,Signaling,#7B6597
gene_holdout_main,Gene,peroxisome_peroxi_spy650_live_cell_dye,0.7845023048420747,0.764050043215199,0.8013533478602767,10,Readable (≥0.75),Peroxi_SPY650 live cell dye,Peroxisome,#D56C75
gene_holdout_main,Gene,plasma_membrane_atp1b3,0.749630705267191,0.7330044320474068,0.7539384606294334,10,Intermediate (0.60–0.75),ATP1B3,Plasma Membrane,#9C8C72
gene_holdout_main,Gene,plasma_membrane_slc3a2,0.9073366475601992,0.9066311087459327,0.9120115866263708,10,Readable (≥0.75),SLC3A2,Plasma Membrane,#9C8C72
gene_holdout_main,Gene,plasma_membrane_wga,0.7419182704554664,0.7232072096318006,0.748581926814384,10,Intermediate (0.60–0.75),WGA*,Plasma Membrane,#9C8C72
gene_holdout_main,Gene,prb,0.44744498382729936,0.3890345421883588,0.4712958590406924,10,Hard (<0.60),pRb*,Signaling,#7B6597
gene_holdout_main,Gene,proteasome_psmb7,0.5960753543690468,0.5748854783712886,0.6053568553722773,10,Hard (<0.60),PSMB7,Stress/PQC,#CC79A7
gene_holdout_main,Gene,ps6,0.5775233318238557,0.5216933804136351,0.5855754704517313,10,Hard (<0.60),pS6*,Signaling,#7B6597
gene_holdout_main,Gene,recycling_endosome_tfrc,0.8625896345824002,0.8503777942930659,0.8787664088110129,10,Readable (≥0.75),TFRC,Endosome,#C6A16A
gene_holdout_main,Gene,stress_granule_g3bp1,0.927926774074634,0.9236153125142057,0.9334290746599436,10,Readable (≥0.75),G3BP1,Stress/PQC,#CC79A7
gene_holdout_main,Gene,trans-golgi_vamp3,0.663585352525115,0.6385953196634849,0.6691805481600265,10,Intermediate (0.60–0.75),VAMP3,ER/Golgi,#4F9A70
strict_whole_screen,Whole-screen,5xupre,0.7549251972387234,0.7493004033342003,0.758479749597609,10,Readable (≥0.75),5xUPRE,Stress/PQC,#CC79A7
strict_whole_screen,Whole-screen,actin_filament_fastact_spy555_live_cell_dye,0.8885264580448469,0.8578695320213834,0.8966472494726379,10,Readable (≥0.75),FastAct_SPY555 Live Cell Dye,Cytoskeleton,#4FA7B8
strict_whole_screen,Whole-screen,autophagosome_atg101,0.7061929733802874,0.6816169649828225,0.7116184925350051,10,Intermediate (0.60–0.75),ATG101,Lysosome,#E8943A
strict_whole_screen,Whole-screen,autophagosome_map1lc3b,0.6944267202505015,0.6586080375483208,0.7093130195409888,10,Intermediate (0.60–0.75),MAP1LC3B,Lysosome,#E8943A
strict_whole_screen,Whole-screen,caspase_activity_cellevent-caspase_live-cell_dye,0.552706390095409,0.4152196676053185,0.558108259186459,10,Hard (<0.60),CellEvent-Caspase live-cell dye,Stress/PQC,#CC79A7
strict_whole_screen,Whole-screen,cell_proliferation_marker_mki67,0.549796842969954,0.5314579913247144,0.5829752736608498,10,Hard (<0.60),MKI67*,Nucleus,#3E6F9C
strict_whole_screen,Whole-screen,chaperones_hspa1b,0.7602883614599705,0.685529219529902,0.767763720980535,10,Readable (≥0.75),HSPA1B,Stress/PQC,#CC79A7
strict_whole_screen,Whole-screen,chromalive_488_excitation,0.656448560456435,0.6395940180518664,0.6716144212211173,10,Intermediate (0.60–0.75),ChromaLIVE 488 excitation,Mitochondria,#C85A3C
strict_whole_screen,Whole-screen,chromatin_h2bc21,0.7232453279818098,0.6996986883071561,0.7292455236117045,10,Intermediate (0.60–0.75),H2BC21,Nucleus,#3E6F9C
strict_whole_screen,Whole-screen,clathrin_vesicles_clta,0.9023128344366949,0.886900493564705,0.9099195337233443,10,Readable (≥0.75),CLTA,Lysosome,#E8943A
strict_whole_screen,Whole-screen,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,0.3221373137882134,0.2503977737214881,0.3864812089321579,10,Hard (<0.60),pHrodo-dextran Live Cell Dye,Signaling,#7B6597
strict_whole_screen,Whole-screen,endosome_vps35,0.7675928591440122,0.7571411561996987,0.7707146069345374,10,Readable (≥0.75),VPS35,Endosome,#C6A16A
strict_whole_screen,Whole-screen,er_golgi_bridge_vapa,0.8028491490210097,0.797270710580051,0.8088026869421203,10,Readable (≥0.75),VAPA,ER/Golgi,#4F9A70
strict_whole_screen,Whole-screen,er_golgi_cope,0.45517536920184887,0.42646639187781443,0.5389209765320022,10,Hard (<0.60),COPE,ER/Golgi,#4F9A70
strict_whole_screen,Whole-screen,er_sec61b,0.8546146448287699,0.8529923264351156,0.8598995066972243,10,Readable (≥0.75),SEC61B,ER/Golgi,#4F9A70
strict_whole_screen,Whole-screen,fe2+_ferhonox_live-cell_dye,0.1863635618744865,0.054411070026011,0.2550245630603361,10,Hard (<0.60),FeRhoNox live-cell dye,Signaling,#7B6597
strict_whole_screen,Whole-screen,late_endosome_rab7a,0.893985403701663,0.8286504774975281,0.9030035533942284,10,Readable (≥0.75),RAB7A,Endosome,#C6A16A
strict_whole_screen,Whole-screen,lipid_droplet_bodipy_live_cell_dye,0.9104310795664786,0.8881930664647371,0.9196743997745216,10,Readable (≥0.75),BODIPY live cell dye,Lysosome,#E8943A
strict_whole_screen,Whole-screen,lipid_droplet_plin2,0.31291798149080324,0.250481905148869,0.41274174602100777,10,Hard (<0.60),PLIN2,Lysosome,#E8943A
strict_whole_screen,Whole-screen,lysosome_lamp1,0.7525743547206124,0.7423441633582115,0.7564398578057686,10,Readable (≥0.75),LAMP1,Lysosome,#E8943A
strict_whole_screen,Whole-screen,lysosome_lysotracker_live-cell_dye,0.917007711612516,0.8876327702568637,0.9246373994068966,10,Readable (≥0.75),LysoTracker live-cell dye,Lysosome,#E8943A
strict_whole_screen,Whole-screen,mitochondria_chromalive_561_excitation,0.6687814516481012,0.5946455726516433,0.7293393225215066,10,Intermediate (0.60–0.75),ChromaLIVE 561 excitation,Mitochondria,#C85A3C
strict_whole_screen,Whole-screen,mitochondria_tomm70a,0.5948710028703014,0.5646989158873718,0.6141967517032754,10,Hard (<0.60),TOMM70A,Mitochondria,#C85A3C
strict_whole_screen,Whole-screen,nuclear_speckles_srrm2,0.6297254665211465,0.6119806836650241,0.6481481285106081,10,Intermediate (0.60–0.75),SRRM2,Nucleus,#3E6F9C
strict_whole_screen,Whole-screen,nuclei_nucleolive_live_cell_dye,0.4263074880873318,0.4051877369396,0.43925929112810985,10,Hard (<0.60),NucleoLIVE Live Cell dye,Nucleus,#3E6F9C
strict_whole_screen,Whole-screen,nucleolus-dfc_fbl,0.4339405098423109,0.4184537630050423,0.46473231483832933,10,Hard (<0.60),FBL,Nucleus,#3E6F9C
strict_whole_screen,Whole-screen,nucleolus-gc_npm3,0.6941095229703933,0.6523370158004885,0.7280480731472684,10,Intermediate (0.60–0.75),NPM3,Nucleus,#3E6F9C
strict_whole_screen,Whole-screen,oxidative_stress_cellrox_live-cell_dye,0.46137472671580326,0.43895553640383383,0.4869496581110676,10,Hard (<0.60),CellROX live-cell dye,Signaling,#7B6597
strict_whole_screen,Whole-screen,peroxisome_peroxi_spy650_live_cell_dye,0.6576829408295453,0.6306949272984639,0.6688668242810916,10,Intermediate (0.60–0.75),Peroxi_SPY650 live cell dye,Peroxisome,#D56C75
strict_whole_screen,Whole-screen,plasma_membrane_atp1b3,0.7520418342513342,0.7021348094567657,0.7541259305241208,10,Readable (≥0.75),ATP1B3,Plasma Membrane,#9C8C72
strict_whole_screen,Whole-screen,plasma_membrane_slc3a2,0.9157658194502196,0.9142309355859957,0.9181785459319751,10,Readable (≥0.75),SLC3A2,Plasma Membrane,#9C8C72
strict_whole_screen,Whole-screen,proteasome_psmb7,0.5724133938589755,0.5644095451292136,0.5789683989811844,10,Hard (<0.60),PSMB7,Stress/PQC,#CC79A7
strict_whole_screen,Whole-screen,recycling_endosome_tfrc,0.8524611070752144,0.843519961150984,0.8582545020617545,10,Readable (≥0.75),TFRC,Endosome,#C6A16A
strict_whole_screen,Whole-screen,trans-golgi_vamp3,0.5557922530376042,0.5268221005486946,0.5627473083441146,10,Hard (<0.60),VAMP3,ER/Golgi,#4F9A70
