unit,split,entity_id,rank_low_to_high,rank_percentile,consensus_ko_pearson,q25,q75,difficulty
Reporter,Gene,late_endosome_rab7a,47,90.19607843137254,0.9105539268503586,0.8602927477409442,0.916327597697576,Readable (≥0.75)
Reporter,Gene,lipid_droplet_bodipy_live_cell_dye,48,92.15686274509804,0.9148503104845682,0.9103921910127004,0.9237137917429208,Readable (≥0.75)
Reporter,Gene,early_endosome_eea1,49,94.11764705882352,0.9192501720041036,0.9145756161461276,0.9234289634972808,Readable (≥0.75)
Reporter,Gene,er_golgi_cop-ii_sec23a,50,96.07843137254902,0.9248014762997626,0.9200777353097996,0.9328322686254978,Readable (≥0.75)
Reporter,Gene,lysosome_lysotracker_live-cell_dye,51,98.0392156862745,0.9248392219344774,0.8887743149263163,0.929110796749592,Readable (≥0.75)
Reporter,Gene,stress_granule_g3bp1,52,100.0,0.927926774074634,0.9236153125142056,0.9334290746599436,Readable (≥0.75)
Reporter,Whole-screen,fe2+_ferhonox_live-cell_dye,1,0.0,0.1863635618744865,0.054411070026011,0.2550245630603361,Hard (<0.60)
Reporter,Whole-screen,lipid_droplet_plin2,2,3.0303030303030303,0.3129179814908032,0.250481905148869,0.4127417460210077,Hard (<0.60)
Reporter,Whole-screen,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,3,6.0606060606060606,0.3221373137882134,0.2503977737214881,0.3864812089321579,Hard (<0.60)
Reporter,Whole-screen,nuclei_nucleolive_live_cell_dye,4,9.09090909090909,0.4263074880873318,0.4051877369396,0.4392592911281098,Hard (<0.60)
Reporter,Whole-screen,nucleolus-dfc_fbl,5,12.121212121212121,0.4339405098423109,0.4184537630050423,0.4647323148383293,Hard (<0.60)
Reporter,Whole-screen,er_golgi_cope,6,15.151515151515152,0.4551753692018488,0.4264663918778144,0.5389209765320022,Hard (<0.60)
Reporter,Whole-screen,oxidative_stress_cellrox_live-cell_dye,7,18.18181818181818,0.4613747267158032,0.4389555364038338,0.4869496581110676,Hard (<0.60)
Reporter,Whole-screen,cell_proliferation_marker_mki67,8,21.21212121212121,0.549796842969954,0.5314579913247144,0.5829752736608498,Hard (<0.60)
Reporter,Whole-screen,caspase_activity_cellevent-caspase_live-cell_dye,9,24.242424242424242,0.552706390095409,0.4152196676053185,0.558108259186459,Hard (<0.60)
Reporter,Whole-screen,trans-golgi_vamp3,10,27.272727272727273,0.5557922530376042,0.5268221005486946,0.5627473083441146,Hard (<0.60)
Reporter,Whole-screen,proteasome_psmb7,11,30.303030303030305,0.5724133938589755,0.5644095451292136,0.5789683989811844,Hard (<0.60)
Reporter,Whole-screen,mitochondria_tomm70a,12,33.333333333333336,0.5948710028703014,0.5646989158873718,0.6141967517032754,Hard (<0.60)
Reporter,Whole-screen,nuclear_speckles_srrm2,13,36.36363636363636,0.6297254665211465,0.6119806836650241,0.6481481285106081,Intermediate (0.60–0.75)
Reporter,Whole-screen,chromalive_488_excitation,14,39.39393939393939,0.656448560456435,0.6395940180518664,0.6716144212211173,Intermediate (0.60–0.75)
Reporter,Whole-screen,peroxisome_peroxi_spy650_live_cell_dye,15,42.42424242424242,0.6576829408295453,0.6306949272984639,0.6688668242810916,Intermediate (0.60–0.75)
Reporter,Whole-screen,mitochondria_chromalive_561_excitation,16,45.45454545454545,0.6687814516481012,0.5946455726516433,0.7293393225215066,Intermediate (0.60–0.75)
Reporter,Whole-screen,nucleolus-gc_npm3,17,48.484848484848484,0.6941095229703933,0.6523370158004885,0.7280480731472684,Intermediate (0.60–0.75)
Reporter,Whole-screen,autophagosome_map1lc3b,18,51.515151515151516,0.6944267202505015,0.6586080375483208,0.7093130195409888,Intermediate (0.60–0.75)
Reporter,Whole-screen,autophagosome_atg101,19,54.54545454545455,0.7061929733802874,0.6816169649828225,0.7116184925350051,Intermediate (0.60–0.75)
Reporter,Whole-screen,chromatin_h2bc21,20,57.57575757575758,0.7232453279818098,0.6996986883071561,0.7292455236117045,Intermediate (0.60–0.75)
Reporter,Whole-screen,plasma_membrane_atp1b3,21,60.60606060606061,0.7520418342513342,0.7021348094567657,0.7541259305241208,Readable (≥0.75)
Reporter,Whole-screen,lysosome_lamp1,22,63.63636363636363,0.7525743547206124,0.7423441633582115,0.7564398578057686,Readable (≥0.75)
Reporter,Whole-screen,5xupre,23,66.66666666666667,0.7549251972387234,0.7493004033342003,0.758479749597609,Readable (≥0.75)
Reporter,Whole-screen,chaperones_hspa1b,24,69.6969696969697,0.7602883614599705,0.685529219529902,0.767763720980535,Readable (≥0.75)
Reporter,Whole-screen,endosome_vps35,25,72.72727272727272,0.7675928591440122,0.7571411561996987,0.7707146069345374,Readable (≥0.75)
Reporter,Whole-screen,er_golgi_bridge_vapa,26,75.75757575757575,0.8028491490210097,0.797270710580051,0.8088026869421203,Readable (≥0.75)
Reporter,Whole-screen,recycling_endosome_tfrc,27,78.78787878787878,0.8524611070752144,0.843519961150984,0.8582545020617545,Readable (≥0.75)
