reporter_slug,short_name,prediction_state,predictor,response_scale,recoverability_r,reliability,magnitude_spearman,variance_ratio,top5pct_recall,n_genes,observed_boundary_ties,predicted_boundary_ties,tier,proxy_supported,pass_reliability,pass_recovery,pass_rank,pass_variance_lower,pass_variance_upper,pass_quantitative_hit,pass_ranking_hit,pass_measurement_recovery,failed_quantitative_gates,failed_ranking_gates
nuclei_nucleolive_live_cell_dye,NucleoLIVE Live Cell dye,checkpoint_average,coherent_median_ensemble,common_control,0.8274654823751894,0.6299969683630331,0.8531728331728332,0.7928864032456882,0.84,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
nuclei_nucleolive_live_cell_dye,NucleoLIVE Live Cell dye,checkpoint_average,coherent_median_ensemble,fold_standardized,0.8274654823751894,0.6299969683630331,0.8456284256284257,0.7876254610423413,0.84,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
endosome_vps35,VPS35,checkpoint_average,coherent_median_ensemble,common_control,0.8287198369034531,0.3519252152106765,0.84987312987313,0.8053327690277693,0.7,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
endosome_vps35,VPS35,checkpoint_average,coherent_median_ensemble,fold_standardized,0.8287198369034531,0.3519252152106765,0.8291184611184611,0.7600603455845345,0.64,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
er_sec61b,SEC61B,checkpoint_average,coherent_median_ensemble,common_control,0.8119267301316615,0.4571854056007768,0.9014797934797935,0.5989096388069226,0.86,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
er_sec61b,SEC61B,checkpoint_average,coherent_median_ensemble,fold_standardized,0.8119267301316615,0.4571854056007768,0.8979831819831822,0.5893175347487839,0.86,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
er_golgi_bridge_vapa,VAPA,checkpoint_average,coherent_median_ensemble,common_control,0.8133458602825707,0.6864386449976475,0.9081841521841523,0.7683852696346999,0.88,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
er_golgi_bridge_vapa,VAPA,checkpoint_average,coherent_median_ensemble,fold_standardized,0.8133458602825707,0.6864386449976475,0.8885138765138766,0.8605599982362443,0.88,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
mitochondria_chromalive_561_excitation,ChromaLIVE 561 excitation,checkpoint_average,coherent_median_ensemble,common_control,0.8061886957912788,0.7231375976605061,0.9472878352878353,0.7999771592606584,0.88,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
mitochondria_chromalive_561_excitation,ChromaLIVE 561 excitation,checkpoint_average,coherent_median_ensemble,fold_standardized,0.8061886957912788,0.7231375976605061,0.9422452622452623,0.7786433965836668,0.88,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
