reporter_slug,short_name,run_state,biological_category,reliability,historical_reference_tier,method_id,method,recoverability_r,magnitude_spearman,variance_ratio,top5pct_recall,n_genes,observed_boundary_ties,predicted_boundary_ties,tier,proxy_supported,pass_reliability,pass_recovery,pass_rank,pass_variance_lower,pass_variance_upper,pass_quantitative_hit,pass_ranking_hit,pass_measurement_recovery,failed_quantitative_gates,failed_ranking_gates
nuclear_speckles_srrm2,SRRM2,checkpoint_average,Nucleus,0.619391207547443,ranking_proxy,state_matched_hybrid,state_matched_hybrid,0.8484730136237758,0.8712907272907273,0.4952132737175836,0.76,1000,1,1,ranking_proxy,True,True,True,True,False,True,True,True,False,variance_lower,
proteasome_psmb7,PSMB7,checkpoint_average,Stress/PQC,0.4309405843280984,ranking_proxy,hybrid_median_before_screen_mean,hybrid_median_before_screen_mean,0.5960753543690468,0.8499032139032139,0.851693631535629,0.78,1000,1,1,ranking_proxy,True,True,False,True,True,True,True,True,True,recovery,
proteasome_psmb7,PSMB7,checkpoint_average,Stress/PQC,0.4309405843280984,ranking_proxy,state_matched_hybrid,state_matched_hybrid,0.5889205499139067,0.8499032139032139,0.851693631535629,0.78,1000,1,1,ranking_proxy,True,True,False,True,True,True,True,True,True,recovery,
oxidative_stress_cellrox_live-cell_dye,CellROX live-cell dye,checkpoint_average,Signaling,0.566358845982032,ranking_proxy,hybrid_median_before_screen_mean,hybrid_median_before_screen_mean,0.661024148389697,0.7922595482595484,0.7552727102266045,0.82,1000,1,1,ranking_proxy,True,True,False,True,True,True,True,True,False,recovery,
oxidative_stress_cellrox_live-cell_dye,CellROX live-cell dye,checkpoint_average,Signaling,0.566358845982032,ranking_proxy,state_matched_hybrid,state_matched_hybrid,0.6610241485340478,0.7922595482595484,0.7552727102266045,0.82,1000,1,1,ranking_proxy,True,True,False,True,True,True,True,True,False,recovery,
er_ncln,NCLN,checkpoint_average,ER/Golgi,0.5109354049791082,ranking_proxy,hybrid_median_before_screen_mean,hybrid_median_before_screen_mean,0.6531121644501885,0.7536111576111576,0.8064229303337181,0.58,1000,1,1,ranking_proxy,True,True,False,True,True,True,False,True,False,recovery;quantitative_hit,
er_ncln,NCLN,checkpoint_average,ER/Golgi,0.5109354049791082,ranking_proxy,state_matched_hybrid,state_matched_hybrid,0.6546212368625371,0.7536111576111576,0.8064229303337181,0.58,1000,1,1,ranking_proxy,True,True,False,True,True,True,False,True,False,recovery;quantitative_hit,
trans-golgi_vamp3,VAMP3,checkpoint_average,ER/Golgi,0.565576846698852,ranking_proxy,hybrid_median_before_screen_mean,hybrid_median_before_screen_mean,0.663585352525115,0.7384963864963865,0.7688269382820128,0.86,1000,1,1,ranking_proxy,True,True,False,True,True,True,True,True,False,recovery,
trans-golgi_vamp3,VAMP3,checkpoint_average,ER/Golgi,0.565576846698852,ranking_proxy,state_matched_hybrid,state_matched_hybrid,0.6600799826778483,0.7384963864963865,0.7688269382820128,0.86,1000,1,1,ranking_proxy,True,True,False,True,True,True,True,True,False,recovery,
p21,p21*,checkpoint_average,Signaling,0.673271028808692,ranking_proxy,hybrid_median_before_screen_mean,hybrid_median_before_screen_mean,0.607278133481741,0.7383808383808383,0.2482938383826281,0.64,1000,1,1,ranking_proxy,True,True,False,True,False,True,True,True,False,recovery;variance_lower,
