reporter_slug,short_name,biological_category_y,n_directions,minimum,median,maximum,metric,metric_label,range,status,reporter_order,display_label
caspase_activity_cellevent-caspase_live-cell_dye,CellEvent-Caspase live-cell dye,Stress/PQC,2,0.4344548364548364,0.5174108924108924,0.6003669483669484,consensus10_strict_magnitude_spearman,Rank across screens,0.16591211191211197,stable_below,28,CellEvent-Caspase
proteasome_psmb7,PSMB7,Stress/PQC,2,0.5258980253711343,0.573682447274526,0.6214668691779177,consensus10_strict_gene_pearson,Recovery across screens,0.09556884380678343,stable_below,29,PSMB7
proteasome_psmb7,PSMB7,Stress/PQC,2,0.1015375555375555,0.4334911460558368,0.765444736574118,consensus10_strict_magnitude_spearman,Rank across screens,0.6639071810365625,crosses_gate,29,PSMB7
nucleolus-dfc_fbl,FBL,Nucleus,2,0.4041683645870458,0.42851299803927145,0.4528576314914971,consensus10_strict_gene_pearson,Recovery across screens,0.0486892669044513,stable_below,30,FBL
nucleolus-dfc_fbl,FBL,Nucleus,2,0.2640815040815041,0.4906863676863677,0.7172912312912313,consensus10_strict_magnitude_spearman,Rank across screens,0.4532097272097272,crosses_gate,30,FBL
oxidative_stress_cellrox_live-cell_dye,CellROX live-cell dye,Signaling,2,0.3141369120761131,0.47258389592449623,0.6310308797728794,consensus10_strict_gene_pearson,Recovery across screens,0.3168939676967663,stable_below,31,CellROX
oxidative_stress_cellrox_live-cell_dye,CellROX live-cell dye,Signaling,2,0.0355001155001154,0.40936594936594933,0.7832317832317832,consensus10_strict_magnitude_spearman,Rank across screens,0.7477316677316678,crosses_gate,31,CellROX
endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,pHrodo-dextran Live Cell Dye,Signaling,2,0.3070989734260365,0.3187797150652234,0.3304604567044104,consensus10_strict_gene_pearson,Recovery across screens,0.023361483278373896,stable_below,32,pHrodo-dextran
endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,pHrodo-dextran Live Cell Dye,Signaling,2,0.3079083979083978,0.5022175602175601,0.6965267225267224,consensus10_strict_magnitude_spearman,Rank across screens,0.38861832461832463,stable_below,32,pHrodo-dextran
lipid_droplet_plin2,PLIN2,Lysosome,2,0.2384413432834359,0.3162986058062718,0.3941558683291077,consensus10_strict_gene_pearson,Recovery across screens,0.1557145250456718,stable_below,33,PLIN2
lipid_droplet_plin2,PLIN2,Lysosome,2,0.176065724065724,0.32158351558351556,0.4671013071013071,consensus10_strict_magnitude_spearman,Rank across screens,0.2910355830355831,stable_below,33,PLIN2
fe2+_ferhonox_live-cell_dye,FeRhoNox live-cell dye,Signaling,2,0.1566016610596913,0.1770529075584666,0.1975041540572419,consensus10_strict_gene_pearson,Recovery across screens,0.04090249299755058,stable_below,34,FeRhoNox
fe2+_ferhonox_live-cell_dye,FeRhoNox live-cell dye,Signaling,2,0.2495001515001514,0.4129547239547239,0.5764092964092964,consensus10_strict_magnitude_spearman,Rank across screens,0.326909144909145,stable_below,34,FeRhoNox
