reporter_slug,short_name,display_label,biological_category,destination_screen,display_screen,metric,metric_label,value,reporter_order,status
chromatin_h2bc21,H2BC21,H2BC21,Nucleus,Biohub_OPS0064,OPS0064,consensus10_strict_gene_pearson,Recovery across screens,0.6921494739751022,14,crosses_gate
chromatin_h2bc21,H2BC21,H2BC21,Nucleus,Biohub_OPS0069,OPS0069,consensus10_strict_gene_pearson,Recovery across screens,0.7489982694387436,14,crosses_gate
chromatin_h2bc21,H2BC21,H2BC21,Nucleus,Biohub_OPS0064,OPS0064,consensus10_strict_magnitude_spearman,Rank across screens,0.6804095184095185,14,crosses_gate
chromatin_h2bc21,H2BC21,H2BC21,Nucleus,Biohub_OPS0069,OPS0069,consensus10_strict_magnitude_spearman,Rank across screens,0.7223465303465304,14,crosses_gate
chaperones_hspa1b,HSPA1B,HSPA1B,Stress/PQC,Biohub_OPS0028,OPS0028,consensus10_strict_gene_pearson,Recovery across screens,0.8148920262853305,15,stable_above
chaperones_hspa1b,HSPA1B,HSPA1B,Stress/PQC,Biohub_OPS0072,OPS0072,consensus10_strict_gene_pearson,Recovery across screens,0.71668716147542,15,stable_above
chaperones_hspa1b,HSPA1B,HSPA1B,Stress/PQC,Biohub_OPS0028,OPS0028,consensus10_strict_magnitude_spearman,Rank across screens,0.6773219753219754,15,stable_below
chaperones_hspa1b,HSPA1B,HSPA1B,Stress/PQC,Biohub_OPS0072,OPS0072,consensus10_strict_magnitude_spearman,Rank across screens,0.5668151248151247,15,stable_below
autophagosome_atg101,ATG101,ATG101,Lysosome,Biohub_OPS0031,OPS0031,consensus10_strict_gene_pearson,Recovery across screens,0.7229415097584326,16,crosses_gate
autophagosome_atg101,ATG101,ATG101,Lysosome,Biohub_OPS0054,OPS0054,consensus10_strict_gene_pearson,Recovery across screens,0.690906960517168,16,crosses_gate
autophagosome_atg101,ATG101,ATG101,Lysosome,Biohub_OPS0031,OPS0031,consensus10_strict_magnitude_spearman,Rank across screens,0.6678108318108318,16,stable_below
autophagosome_atg101,ATG101,ATG101,Lysosome,Biohub_OPS0054,OPS0054,consensus10_strict_magnitude_spearman,Rank across screens,0.6564811764811764,16,stable_below
peroxisome_peroxi_spy650_live_cell_dye,Peroxi_SPY650 live cell dye,Peroxi-SPY650,Peroxisome,Biohub_OPS0045,OPS0045,consensus10_strict_gene_pearson,Recovery across screens,0.6147565112138788,17,stable_below
peroxisome_peroxi_spy650_live_cell_dye,Peroxi_SPY650 live cell dye,Peroxi-SPY650,Peroxisome,Biohub_OPS0057,OPS0057,consensus10_strict_gene_pearson,Recovery across screens,0.6902419024457533,17,stable_below
peroxisome_peroxi_spy650_live_cell_dye,Peroxi_SPY650 live cell dye,Peroxi-SPY650,Peroxisome,Biohub_OPS0045,OPS0045,consensus10_strict_magnitude_spearman,Rank across screens,0.6543299403299403,17,crosses_gate
peroxisome_peroxi_spy650_live_cell_dye,Peroxi_SPY650 live cell dye,Peroxi-SPY650,Peroxisome,Biohub_OPS0057,OPS0057,consensus10_strict_magnitude_spearman,Rank across screens,0.7746048306048305,17,crosses_gate
endosome_vps35,VPS35,VPS35,Endosome,Biohub_OPS0013,OPS0013,consensus10_strict_gene_pearson,Recovery across screens,0.730993963778019,18,stable_above
endosome_vps35,VPS35,VPS35,Endosome,Biohub_OPS0025,OPS0025,consensus10_strict_gene_pearson,Recovery across screens,0.7998951033999522,18,stable_above
endosome_vps35,VPS35,VPS35,Endosome,Biohub_OPS0013,OPS0013,consensus10_strict_magnitude_spearman,Rank across screens,0.4394320694320693,18,crosses_gate
endosome_vps35,VPS35,VPS35,Endosome,Biohub_OPS0025,OPS0025,consensus10_strict_magnitude_spearman,Rank across screens,0.727962241962242,18,crosses_gate
nucleolus-gc_npm3,NPM3,NPM3,Nucleus,Biohub_OPS0042,OPS0042,consensus10_strict_gene_pearson,Recovery across screens,0.7135559602174908,19,crosses_gate
nucleolus-gc_npm3,NPM3,NPM3,Nucleus,Biohub_OPS0058,OPS0058,consensus10_strict_gene_pearson,Recovery across screens,0.6736511383205652,19,crosses_gate
nucleolus-gc_npm3,NPM3,NPM3,Nucleus,Biohub_OPS0042,OPS0042,consensus10_strict_magnitude_spearman,Rank across screens,0.6917358857358857,19,stable_below
nucleolus-gc_npm3,NPM3,NPM3,Nucleus,Biohub_OPS0058,OPS0058,consensus10_strict_magnitude_spearman,Rank across screens,0.5455328875328875,19,stable_below
autophagosome_map1lc3b,MAP1LC3B,MAP1LC3B,Lysosome,Biohub_OPS0016,OPS0016,consensus10_strict_gene_pearson,Recovery across screens,0.6784491299962003,20,crosses_gate
autophagosome_map1lc3b,MAP1LC3B,MAP1LC3B,Lysosome,Biohub_OPS0017,OPS0017,consensus10_strict_gene_pearson,Recovery across screens,0.6846310732265313,20,crosses_gate
autophagosome_map1lc3b,MAP1LC3B,MAP1LC3B,Lysosome,Biohub_OPS0040,OPS0040,consensus10_strict_gene_pearson,Recovery across screens,0.7339980508356045,20,crosses_gate
autophagosome_map1lc3b,MAP1LC3B,MAP1LC3B,Lysosome,Biohub_OPS0016,OPS0016,consensus10_strict_magnitude_spearman,Rank across screens,0.5033512673512673,20,stable_below
autophagosome_map1lc3b,MAP1LC3B,MAP1LC3B,Lysosome,Biohub_OPS0017,OPS0017,consensus10_strict_magnitude_spearman,Rank across screens,0.5641419661419662,20,stable_below
autophagosome_map1lc3b,MAP1LC3B,MAP1LC3B,Lysosome,Biohub_OPS0040,OPS0040,consensus10_strict_magnitude_spearman,Rank across screens,0.6107802047802048,20,stable_below
nuclear_speckles_srrm2,SRRM2,SRRM2,Nucleus,Biohub_OPS0036,OPS0036,consensus10_strict_gene_pearson,Recovery across screens,0.6598935283254832,21,stable_below
nuclear_speckles_srrm2,SRRM2,SRRM2,Nucleus,Biohub_OPS0061,OPS0061,consensus10_strict_gene_pearson,Recovery across screens,0.6105499522139628,21,stable_below
nuclear_speckles_srrm2,SRRM2,SRRM2,Nucleus,Biohub_OPS0036,OPS0036,consensus10_strict_magnitude_spearman,Rank across screens,0.7515110295110294,21,crosses_gate
nuclear_speckles_srrm2,SRRM2,SRRM2,Nucleus,Biohub_OPS0061,OPS0061,consensus10_strict_magnitude_spearman,Rank across screens,0.4726394880574065,21,crosses_gate
chromalive_488_excitation,ChromaLIVE 488 excitation,ChromaLIVE 488,Mitochondria,Biohub_OPS0002,OPS0002,consensus10_strict_gene_pearson,Recovery across screens,0.6403458146378398,22,stable_below
chromalive_488_excitation,ChromaLIVE 488 excitation,ChromaLIVE 488,Mitochondria,Biohub_OPS0051,OPS0051,consensus10_strict_gene_pearson,Recovery across screens,0.6887106969952583,22,stable_below
chromalive_488_excitation,ChromaLIVE 488 excitation,ChromaLIVE 488,Mitochondria,Biohub_OPS0002,OPS0002,consensus10_strict_magnitude_spearman,Rank across screens,0.4643112743112743,22,stable_below
chromalive_488_excitation,ChromaLIVE 488 excitation,ChromaLIVE 488,Mitochondria,Biohub_OPS0051,OPS0051,consensus10_strict_magnitude_spearman,Rank across screens,0.6597629757629757,22,stable_below
mitochondria_tomm70a,TOMM70A,TOMM70A,Mitochondria,Biohub_OPS0015,OPS0015,consensus10_strict_gene_pearson,Recovery across screens,0.6351385926827788,23,stable_below
mitochondria_tomm70a,TOMM70A,TOMM70A,Mitochondria,Biohub_OPS0068,OPS0068,consensus10_strict_gene_pearson,Recovery across screens,0.5623109696510558,23,stable_below
mitochondria_tomm70a,TOMM70A,TOMM70A,Mitochondria,Biohub_OPS0015,OPS0015,consensus10_strict_magnitude_spearman,Rank across screens,0.6072732552732553,23,stable_below
mitochondria_tomm70a,TOMM70A,TOMM70A,Mitochondria,Biohub_OPS0068,OPS0068,consensus10_strict_magnitude_spearman,Rank across screens,0.4949131349131349,23,stable_below
trans-golgi_vamp3,VAMP3,VAMP3,ER/Golgi,Biohub_OPS0030,OPS0030,consensus10_strict_gene_pearson,Recovery across screens,0.5663191677692035,24,stable_below
trans-golgi_vamp3,VAMP3,VAMP3,ER/Golgi,Biohub_OPS0059,OPS0059,consensus10_strict_gene_pearson,Recovery across screens,0.5533793956662219,24,stable_below
trans-golgi_vamp3,VAMP3,VAMP3,ER/Golgi,Biohub_OPS0030,OPS0030,consensus10_strict_magnitude_spearman,Rank across screens,0.5485960405960406,24,stable_below
trans-golgi_vamp3,VAMP3,VAMP3,ER/Golgi,Biohub_OPS0059,OPS0059,consensus10_strict_magnitude_spearman,Rank across screens,0.4807800547800547,24,stable_below
er_golgi_cope,COPE,COPE,ER/Golgi,Biohub_OPS0023,OPS0023,consensus10_strict_gene_pearson,Recovery across screens,0.5082915561894575,25,stable_below
er_golgi_cope,COPE,COPE,ER/Golgi,Biohub_OPS0074,OPS0074,consensus10_strict_gene_pearson,Recovery across screens,0.4282196102042993,25,stable_below
er_golgi_cope,COPE,COPE,ER/Golgi,Biohub_OPS0023,OPS0023,consensus10_strict_magnitude_spearman,Rank across screens,0.658018978018978,25,stable_below
er_golgi_cope,COPE,COPE,ER/Golgi,Biohub_OPS0074,OPS0074,consensus10_strict_magnitude_spearman,Rank across screens,0.5495140055140055,25,stable_below
cell_proliferation_marker_mki67,MKI67*,MKI67*,Nucleus,Biohub_OPS0045,OPS0045,consensus10_strict_gene_pearson,Recovery across screens,0.5436262895042697,26,stable_below
cell_proliferation_marker_mki67,MKI67*,MKI67*,Nucleus,Biohub_OPS0057,OPS0057,consensus10_strict_gene_pearson,Recovery across screens,0.5641398479541143,26,stable_below
cell_proliferation_marker_mki67,MKI67*,MKI67*,Nucleus,Biohub_OPS0045,OPS0045,consensus10_strict_magnitude_spearman,Rank across screens,0.5188316548316548,26,stable_below
cell_proliferation_marker_mki67,MKI67*,MKI67*,Nucleus,Biohub_OPS0057,OPS0057,consensus10_strict_magnitude_spearman,Rank across screens,0.5137677457677458,26,stable_below
nuclei_nucleolive_live_cell_dye,NucleoLIVE Live Cell dye,NucleoLIVE,Nucleus,Biohub_OPS0061,OPS0061,consensus10_strict_gene_pearson,Recovery across screens,0.415945016691694,27,stable_below
nuclei_nucleolive_live_cell_dye,NucleoLIVE Live Cell dye,NucleoLIVE,Nucleus,Biohub_OPS0062,OPS0062,consensus10_strict_gene_pearson,Recovery across screens,0.4366699594829696,27,stable_below
nuclei_nucleolive_live_cell_dye,NucleoLIVE Live Cell dye,NucleoLIVE,Nucleus,Biohub_OPS0061,OPS0061,consensus10_strict_magnitude_spearman,Rank across screens,0.7820461040461041,27,crosses_gate
nuclei_nucleolive_live_cell_dye,NucleoLIVE Live Cell dye,NucleoLIVE,Nucleus,Biohub_OPS0062,OPS0062,consensus10_strict_magnitude_spearman,Rank across screens,0.5043559683559684,27,crosses_gate
