assay_key	reporter_slug	display_name	biological_category	screen_id	screen_number	screen_group	figure_row	figure_column	gene_guide_concordant_exact_links	targeting_exact_links	control_exact_links	marker_area_pt2	is_anchor
chromatin_h2bc21::Biohub_OPS0064	chromatin_h2bc21	H2BC21	Nucleus	Biohub_OPS0064	64	Multi-reporter	36	71	145485	137727	7758	20.292445921913686	False
cell_proliferation_marker_mki67::Biohub_OPS0045	cell_proliferation_marker_mki67	MKI67	Nucleus	Biohub_OPS0045	45	Multi-reporter	37	66	98157	93175	4982	13.691072030499924	False
cell_proliferation_marker_mki67::Biohub_OPS0057	cell_proliferation_marker_mki67	MKI67	Nucleus	Biohub_OPS0057	57	Multi-reporter	37	67	99468	94387	5081	13.873932095823696	False
nucleolus-gc_npm3::Biohub_OPS0042	nucleolus-gc_npm3	NPM3	Nucleus	Biohub_OPS0042	42	Single-reporter	38	49	88463	84131	4332	12.33893970918136	False
nucleolus-gc_npm3::Biohub_OPS0058	nucleolus-gc_npm3	NPM3	Nucleus	Biohub_OPS0058	58	Single-reporter	38	50	124655	118466	6189	17.38704915555659	False
nuclei_nucleolive_live_cell_dye::Biohub_OPS0062	nuclei_nucleolive_live_cell_dye	NucleoLIVE	Nucleus	Biohub_OPS0062	62	Multi-reporter	39	68	97262	92590	4672	13.566236211686213	False
nuclei_nucleolive_live_cell_dye::Biohub_OPS0061	nuclei_nucleolive_live_cell_dye	NucleoLIVE	Nucleus	Biohub_OPS0061	61	Multi-reporter	39	69	172066	163583	8483	24.0	False
nuclear_speckles_srrm2::Biohub_OPS0036	nuclear_speckles_srrm2	SRRM2	Nucleus	Biohub_OPS0036	36	Single-reporter	40	51	105775	100489	5286	14.7536410447154	False
nuclear_speckles_srrm2::Biohub_OPS0061	nuclear_speckles_srrm2	SRRM2	Nucleus	Biohub_OPS0061	61	Multi-reporter	40	69	172066	163583	8483	24.0	False
nuclei_hoechst::Biohub_OPS0043	nuclei_hoechst	Hoechst	Nucleus	Biohub_OPS0043	43	Multi-reporter	41	65	111573	105887	5686	15.562353980449362	False
nucleoli_npm1::Biohub_OPS0043	nucleoli_npm1	NPM1	Nucleus	Biohub_OPS0043	43	Multi-reporter	42	65	111573	105887	5686	15.562353980449362	False
oxidative_stress_cellrox_live-cell_dye::Biohub_OPS0048	oxidative_stress_cellrox_live-cell_dye	CellROX	Signaling	Biohub_OPS0048	48	Single-reporter	43	52	108425	102488	5937	15.123266653493427	False
oxidative_stress_cellrox_live-cell_dye::Biohub_OPS0069	oxidative_stress_cellrox_live-cell_dye	CellROX	Signaling	Biohub_OPS0069	69	Multi-reporter	43	70	161213	153068	8145	22.486208780351724	False
fe2+_ferhonox_live-cell_dye::Biohub_OPS0047	fe2+_ferhonox_live-cell_dye	FeRhoNox	Signaling	Biohub_OPS0047	47	Single-reporter	44	53	105043	99656	5387	14.651540687875583	True
fe2+_ferhonox_live-cell_dye::Biohub_OPS0067	fe2+_ferhonox_live-cell_dye	FeRhoNox	Signaling	Biohub_OPS0067	67	Single-reporter	44	54	105986	100466	5520	14.783071612055839	True
endocytic_vesicle_ph_phrodo-dextran_live_cell_dye::Biohub_OPS0053	endocytic_vesicle_ph_phrodo-dextran_live_cell_dye	pHrodo-dextran	Signaling	Biohub_OPS0053	53	Single-reporter	45	55	92592	87924	4668	12.914858252066068	False
endocytic_vesicle_ph_phrodo-dextran_live_cell_dye::Biohub_OPS0064	endocytic_vesicle_ph_phrodo-dextran_live_cell_dye	pHrodo-dextran	Signaling	Biohub_OPS0064	64	Multi-reporter	45	71	145485	137727	7758	20.292445921913686	False
b-catenin::Biohub_OPS0077	b-catenin	b-catenin	Signaling	Biohub_OPS0077	77	Multi-reporter	46	72	90286	85290	4996	12.593214231748282	False
c-myc::Biohub_OPS0077	c-myc	c-Myc	Signaling	Biohub_OPS0077	77	Multi-reporter	47	72	90286	85290	4996	12.593214231748282	False
p21::Biohub_OPS0077	p21	p21	Signaling	Biohub_OPS0077	77	Multi-reporter	48	72	90286	85290	4996	12.593214231748282	False
p53::Biohub_OPS0077	p53	p53	Signaling	Biohub_OPS0077	77	Multi-reporter	49	72	90286	85290	4996	12.593214231748282	False
prb::Biohub_OPS0077	prb	pRb	Signaling	Biohub_OPS0077	77	Multi-reporter	50	72	90286	85290	4996	12.593214231748282	True
ps6::Biohub_OPS0077	ps6	pS6	Signaling	Biohub_OPS0077	77	Multi-reporter	51	72	90286	85290	4996	12.593214231748282	False
