gene,mean_response_percentile
MCM3,0.533923076923077
MCM5,0.3929807692307692
MCM7,0.6135769230769232
MCRS1,0.5341730769230769
MCTS1,0.37636538461538466
MDN1,0.5262115384615385
MEAF6,0.4480192307692307
MED13L,0.4305
MED18,0.6114423076923077
MED21,0.708846153846154
MED6,0.7964230769230768
METAP1,0.3658653846153846
METTL3,0.42425
METTL7A,0.6621153846153847
METTL7B,0.46634615384615385
MEX3C,0.3268846153846154
MFAP1,0.6713653846153846
MGAM,0.42655769230769225
MICOS13,0.40011538461538465
MIEN1,0.3669230769230769
MIOS,0.40449999999999997
MLLT1,0.4179038461538462
MMP17,0.4578461538461538
MOB4,0.39709615384615393
MRGBP,0.4883269230769232
MRM1,0.465576923076923
MROH6,0.4624615384615384
MRPL20,0.44828846153846147
MRPL34,0.38717307692307695
MRPL39,0.3453076923076923
MRPL40,0.2922884615384616
MRPL42,0.4788076923076922
MRPL52,0.4645576923076922
MSANTD4,0.3987884615384616
MSH3,0.40165384615384614
MTA2,0.42151923076923076
MTBP,0.897019230769231
MTHFD1,0.4618557692307694
MTOR,0.3741346153846154
MUC13,0.4722884615384616
MUCL1,0.3504807692307692
MXRA8,0.32082692307692307
MYBPHL,0.5294807692307691
MYCL,0.4088846153846154
NACC1,0.32346153846153847
NAE1,0.42711538461538456
NAMPT,0.4019807692307692
NAPA,0.6575384615384615
NAPG,0.34775000000000006
NBEAL1,0.3983269230769231
NBPF15,0.9364230769230768
NCAN,0.3295192307692308
NCAPG2,0.5732307692307692
NCBP2,0.5977692307692307
NCDN,0.29725
NCKIPSD,0.4538269230769231
NCL,0.7775384615384614
NCOA1,0.48119230769230764
NCOA4,0.43869230769230766
NDUFC1,0.38513461538461535
NEDD8,0.60275
NEK1,0.3065576923076923
NHSL1,0.4674423076923078
NLE1,0.6739423076923077
NMT1,0.5771153846153847
NOB1,0.5341153846153847
NOL10,0.5049038461538462
NOL6,0.6487692307692308
NOL7,0.5385576923076925
NOL8,0.6661923076923078
NOLC1,0.5197115384615385
NOP16,0.556326923076923
NOP56,0.7195769230769231
NOP58,0.7606346153846153
NOP9,0.48482692307692304
NPRL2,0.4225192307692307
NR2C2AP,0.38834615384615384
NR2E1,0.642076923076923
NR2F2,0.5042115384615383
NRAS,0.5049615384615384
NSA2,0.7377115384615384
NUDCD1,0.3178461538461539
NUDT21,0.4520576923076923
NUFIP2,0.27748076923076925
NUP214,0.5499038461538461
NUP37,0.41542307692307695
NUP54,0.41780769230769227
NUP98,0.6271538461538462
OAZ1,0.38686538461538456
OGT,0.5116730769230768
OR2T5,0.4920961538461539
ORC6,0.7290384615384615
OSBPL7,0.532576923076923
OST4,0.3887307692307692
OTOP1,0.7090576923076922
P4HB,0.49226923076923074
PAICS,0.42540384615384613
PAN2,0.4409423076923077
PARP1,0.39092307692307693
PARP12,0.4318461538461539
PATL1,0.3614615384615385
PCF11,0.7094038461538461
PCID2,0.5375961538461539
PCYT1A,0.3588846153846155
PDCD7,0.561
PDGFRA,0.41259615384615395
PDIA6,0.339
PDPK1,0.33082692307692313
PDZK1IP1,0.3517884615384616
PEF1,0.3773846153846154
PEX19,0.6019423076923076
PFDN2,0.4713269230769231
PFN1,0.45940384615384616
PGK1,0.3943461538461539
PHB,0.5723846153846154
PHB2,0.46198076923076925
PHF23,0.5141923076923077
PIAS1,0.46919230769230774
PIGS,0.5829615384615384
PIM2,0.3887884615384616
PKMYT1,0.4214230769230769
PLA2G4A,0.4042307692307692
PLEKHM2,0.40461538461538465
PLGLB2,0.7215384615384616
PLOD3,0.4259615384615385
POLA1,0.7603076923076924
POLA2,0.7673846153846154
POLE,0.8910961538461538
POLE2,0.7895192307692309
POLE4,0.3495192307692308
POLR1B,0.7586153846153845
POLR1C,0.4501923076923078
POLR1E,0.5649038461538463
POLR2B,0.7638653846153847
POLR2C,0.8225961538461538
POLR2D,0.8285576923076922
POLR2E,0.5103846153846153
POLR2F,0.8132884615384615
POLR2H,0.6982884615384617
POLR2I,0.5080769230769231
POLR2M,0.4989038461538461
POLR3A,0.5167692307692306
POLR3B,0.3998269230769231
POLR3E,0.4444038461538462
POLR3F,0.4465576923076923
POP4,0.5160769230769231
POU3F1,0.28942307692307695
PPAN,0.6775384615384615
PPAT,0.4425
PPCS,0.28619230769230775
PPIA,0.5725384615384616
PPIAL4D,0.7595384615384615
PPIE,0.36751923076923076
PPP1CA,0.4414807692307692
PPP1R15B,0.40001923076923074
PPP1R2,0.4399423076923078
PPP2CA,0.5870576923076922
PPWD1,0.4678076923076923
PPY,0.5855
PRAMEF6,0.707673076923077
PRCC,0.3666153846153847
PRDM13,0.3949615384615385
PREB,0.4526730769230769
PRELID3B,0.5237884615384615
PRIM1,0.7362500000000001
PRKACA,0.4317307692307692
PRKRA,0.44453846153846155
PRMT3,0.34149999999999997
PROS1,0.41930769230769227
PRPF39,0.45898076923076925
PRPF4,0.6067884615384614
PRPF6,0.5740000000000001
PRRC2A,0.49075
PRSS3,0.5922115384615385
PSMB6,0.6396730769230768
PSMC2,0.8034038461538463
PSMC6,0.8072115384615385
PSMD11,0.6855576923076924
PSMD14,0.8049038461538462
PSMD2,0.587173076923077
PSMD4,0.8107307692307693
PSPC1,0.4414807692307692
PSRC1,0.41146153846153843
PTDSS1,0.4506538461538462
PTEN,0.5830769230769232
PTK2,0.47900000000000004
PTPMT1,0.4449615384615384
PTPRH,0.3371153846153847
PTPRR,0.5525384615384615
PUF60,0.8110576923076924
PUM1,0.3944423076923076
PXN,0.3999038461538461
QARS,0.4193461538461539
QTRT1,0.3755576923076924
RAB10,0.4064230769230769
RAB11A,0.502673076923077
RAB14,0.30286538461538465
RAB4A,0.4222884615384616
RAB5C,0.5750576923076923
RAB6A,0.49486538461538465
RAB7A,0.56425
RABGGTA,0.5781346153846154
RABGGTB,0.4429807692307693
RAC1,0.5503846153846154
RAC3,0.5149999999999999
RAD21,0.6736923076923078
RAE1,0.5505769230769231
RAI14,0.3031923076923077
RANBP1,0.3234615384615384
RANGAP1,0.5282692307692307
RAP1GAP2,0.4898653846153846
RAPGEF1,0.6292500000000001
RARS,0.3961923076923078
RBBP8,0.8230384615384616
RBFA,0.40967307692307703
RBM10,0.5095192307692308
RBM14,0.4179615384615385
RBM22,0.6014423076923077
RBM26,0.34463461538461543
RBM28,0.450923076923077
RBM42,0.5210769230769231
RBM5,0.4068846153846154
RBMXL1,0.4076346153846154
RBPJ,0.40736538461538463
RCL1,0.44121153846153843
REST,0.41507692307692307
REV3L,0.41244230769230766
RFWD3,0.6140576923076924
RGP1,0.48440384615384624
RGPD8,0.7302692307692307
RHOA,0.41896153846153844
RHOF,0.41817307692307687
RHOG,0.3654615384615385
RHOQ,0.6495576923076923
RICTOR,0.2765
RIOK2,0.4425769230769231
RNF11,0.3967692307692308
RNF146,0.39007692307692304
RNF20,0.5741538461538462
RNF41,0.42478846153846145
RPA2,0.8642884615384615
RPF2,0.7457692307692307
RPL15,0.8474038461538461
RPL18,0.8645576923076922
RPL23,0.8990576923076925
RPL26,0.8959615384615385
RPL27A,0.84125
RPL30,0.9130192307692307
RPL32,0.8841346153846152
RPL34,0.911903846153846
RPL35,0.8349615384615384
RPL37A,0.8340384615384614
RPL41,0.7518076923076923
RPL5,0.6886153846153846
RPL9,0.90725
RPLP1,0.5621730769230768
RPLP2,0.7459038461538463
RPRD1A,0.3696538461538461
RPS10,0.9065
RPS14,0.7473461538461538
RPS16,0.7391346153846154
RPS19BP1,0.32611538461538464
RPS25,0.8300769230769232
RPS27A,0.8961923076923075
RPS28,0.7889999999999999
RPS29,0.8398846153846156
RPS3A,0.8075769230769231
RPS4X,0.7496923076923079
RPS5,0.7285000000000001
RPS6,0.7757884615384616
RPS6KA4,0.5144038461538462
RPS8,0.8749038461538461
RPS9,0.8436730769230771
RPSA,0.7588461538461538
RPTOR,0.4774615384615384
RRM1,0.9835192307692306
RRN3,0.8129423076923078
RRP7A,0.3585576923076923
RRS1,0.6941346153846154
RSL24D1,0.9215192307692307
RTTN,0.3537115384615384
RXRA,0.45317307692307696
S100B,0.4480192307692308
SACM1L,0.4189615384615386
SALL3,0.38992307692307693
SAMM50,0.3024230769230769
SARS,0.42151923076923076
SCAF4,0.2490192307692308
SCAF8,0.4697500000000001
SCAP,0.3580384615384616
SCN10A,0.3375576923076923
SCN8A,0.42309615384615384
SCYL1,0.4890961538461538
SDC1,0.5100192307692308
SEC16A,0.4438846153846154
SEC22A,0.41373076923076924
SEC22C,0.3956538461538462
SEC23B,0.49473076923076914
SEC23IP,0.45682692307692313
SEC24A,0.47575
SEC61A1,0.8864615384615384
SEC61B,0.6308076923076922
SEC61G,0.7756153846153846
SEC63,0.39311538461538464
