method_id,method,split,reporter_slug,cell_pearson,split_label,method_color,method_order,method_family
catboost_multirmse,CatBoost,gene_holdout_main,microtubules_tubulin,0.5680486621128188,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,mitochondria_chromalive_561_excitation,0.8003086720903715,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,mitochondria_tomm20,0.5170634785874022,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,mitochondria_tomm70a,0.770471719900767,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,nuclear_speckles_srrm2,0.8482235814134279,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,nuclei_hoechst,0.655637779533863,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,nuclei_nucleolive_live_cell_dye,0.6904158325244982,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,nucleoli_npm1,0.43686814746922914,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,nucleolus-dfc_fbl,0.8176737961669763,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,nucleolus-gc_npm3,0.8133675669630369,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,oxidative_stress_cellrox_live-cell_dye,0.7770839489996433,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,p21,0.4159336845080057,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,p53,0.39839164167642593,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,peroxisome_peroxi_spy650_live_cell_dye,0.86048867876331,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,plasma_membrane_atp1b3,0.644694521650672,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,plasma_membrane_slc3a2,0.850644406179587,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,plasma_membrane_wga,0.6007487601704067,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,prb,0.28767244171351186,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,proteasome_psmb7,0.6455061249434948,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,ps6,0.5160037460178136,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,recycling_endosome_tfrc,0.8472827297945817,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,stress_granule_g3bp1,0.8645727410912514,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,trans-golgi_vamp3,0.6370950907468795,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,5xupre,0.6767086866001288,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,actin_filament_fastact_spy555_live_cell_dye,0.8374710301558176,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,autophagosome_atg101,0.5830410715813439,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,autophagosome_map1lc3b,0.6257081257709717,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,caspase_activity_cellevent-caspase_live-cell_dye,0.49869388807564974,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,cell_proliferation_marker_mki67,0.5399419986642897,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,chaperones_hspa1b,0.667110910328726,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,chromalive_488_excitation,0.6045077632491787,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,chromatin_h2bc21,0.5828135460615158,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,clathrin_vesicles_clta,0.8393601514399052,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,0.24864311494942132,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,endosome_vps35,0.6936406431098778,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,er_golgi_bridge_vapa,0.7287557205806177,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,er_golgi_cope,0.3340595285020147,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,er_sec61b,0.7573420306046804,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,fe2+_ferhonox_live-cell_dye,0.13095616283438474,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,late_endosome_rab7a,0.8353642821311951,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,lipid_droplet_bodipy_live_cell_dye,0.8394979201257229,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,lipid_droplet_plin2,0.22457439582406852,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,lysosome_lamp1,0.6873598229140043,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,lysosome_lysotracker_live-cell_dye,0.8466453014148606,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,mitochondria_chromalive_561_excitation,0.5754497706269225,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,mitochondria_tomm70a,0.5124191488527382,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,nuclear_speckles_srrm2,0.4809281957568601,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,nuclei_nucleolive_live_cell_dye,0.44109585130354384,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,nucleolus-dfc_fbl,0.3635662176335851,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,nucleolus-gc_npm3,0.5876917471177876,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,oxidative_stress_cellrox_live-cell_dye,0.38377155986381695,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,peroxisome_peroxi_spy650_live_cell_dye,0.5797534383212526,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,plasma_membrane_atp1b3,0.6190753026554983,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,plasma_membrane_slc3a2,0.8446154023210208,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,proteasome_psmb7,0.42963085909529275,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,recycling_endosome_tfrc,0.7601050132264693,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,trans-golgi_vamp3,0.5020915086691579,Whole-screen,#79A8C9,3,Classical tabular
gbdt,GBDT,field_holdout_sanity,5xupre,0.6904476791620254,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,actin_filament_fastact_spy555_live_cell_dye,0.9015366812547049,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,autophagosome_atg101,0.6581425591061512,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,autophagosome_map1lc3b,0.893724707265695,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,b-catenin,0.477874524941047,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,c-myc,0.43665459468960754,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,caspase_activity_cellevent-caspase_live-cell_dye,0.5404029250144958,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,cell_proliferation_marker_mki67,0.7348997647563615,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,chaperones_hspa1b,0.795969677468141,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,chromalive_488_excitation,0.7638739975790183,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,chromatin_h2bc21,0.6440193151434264,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,clathrin_vesicles_clta,0.8724314823746682,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,early_endosome_eea1,0.8330154615143934,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,0.8074453959862391,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,endosome_vps35,0.8286477906008562,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,er_cona,0.5550778152628077,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,er_golgi_bridge_vapa,0.7525497790426016,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,er_golgi_cop-ii_sec23a,0.8454244804879029,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,er_golgi_cope,0.8398814956347147,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,er_ncln,0.5545308625946441,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,er_sec61b,0.7627596614261468,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,f-actin_phalloidin,0.5961794566777018,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,fe2+_ferhonox_live-cell_dye,0.9562155261635781,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,late_endosome_rab7a,0.8898839950561523,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,lipid_droplet_bodipy_live_cell_dye,0.8698229526480039,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,lipid_droplet_plin2,0.8260249435901642,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,lysosome_lamp1,0.7356578357517719,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,lysosome_lysotracker_live-cell_dye,0.8892269847293696,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,microtubules_map4,0.7267238114029169,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,microtubules_tubulin,0.5741581393612756,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,mitochondria_chromalive_561_excitation,0.81349319567283,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,mitochondria_tomm20,0.5239783353586164,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,mitochondria_tomm70a,0.7773434949417909,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,nuclear_speckles_srrm2,0.8610711683829624,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,nuclei_hoechst,0.6747367910544078,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,nuclei_nucleolive_live_cell_dye,0.7172272405276696,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,nucleoli_npm1,0.4387658396114905,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,nucleolus-dfc_fbl,0.8276304977635542,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,nucleolus-gc_npm3,0.824855143080155,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,oxidative_stress_cellrox_live-cell_dye,0.781120895842711,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,p21,0.4097007025281588,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,p53,0.34953407401839887,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,peroxisome_peroxi_spy650_live_cell_dye,0.8652393698692322,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,plasma_membrane_atp1b3,0.6530750684440136,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,plasma_membrane_slc3a2,0.8579512879252433,Field,#5E88AD,2,Classical tabular
