method_id,method,split,reporter_slug,ko_pearson,split_label,method_color,method_order,method_family
catboost_multirmse,CatBoost,strict_whole_screen,late_endosome_rab7a,0.8952030936876932,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,lipid_droplet_bodipy_live_cell_dye,0.9093958487113316,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,lipid_droplet_plin2,0.23858958960045124,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,lysosome_lamp1,0.7445170823484659,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,lysosome_lysotracker_live-cell_dye,0.9157801270484924,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,mitochondria_chromalive_561_excitation,0.6524846114528676,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,mitochondria_tomm70a,0.6026828357717022,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,nuclear_speckles_srrm2,0.6260836351818094,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,nuclei_nucleolive_live_cell_dye,0.43044126679887995,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,nucleolus-dfc_fbl,0.433868608243453,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,nucleolus-gc_npm3,0.7225165479661276,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,oxidative_stress_cellrox_live-cell_dye,0.4701953146662466,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,peroxisome_peroxi_spy650_live_cell_dye,0.638652223162353,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,plasma_membrane_atp1b3,0.7460156111046672,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,plasma_membrane_slc3a2,0.9142292415102323,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,proteasome_psmb7,0.5620637031582494,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,recycling_endosome_tfrc,0.842374083896478,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,trans-golgi_vamp3,0.567328129739811,Whole-screen,#79A8C9,3,Classical tabular
gbdt,GBDT,field_holdout_sanity,5xupre,0.7057905831933022,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,actin_filament_fastact_spy555_live_cell_dye,0.8969535378118356,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,autophagosome_atg101,0.6450089909136295,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,autophagosome_map1lc3b,0.8538971319794655,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,b-catenin,0.5159841464568551,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,c-myc,0.4953993937124809,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,caspase_activity_cellevent-caspase_live-cell_dye,0.5409610010062655,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,cell_proliferation_marker_mki67,0.6463810717066129,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,chaperones_hspa1b,0.7829279181857904,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,chromalive_488_excitation,0.7019103842477004,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,chromatin_h2bc21,0.6966627066334088,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,clathrin_vesicles_clta,0.8842226018508276,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,early_endosome_eea1,0.883880434681972,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,0.6958121319611867,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,endosome_vps35,0.800109296043714,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,er_cona,0.6271987186123927,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,er_golgi_bridge_vapa,0.7775045024851958,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,er_golgi_cop-ii_sec23a,0.8967339366674423,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,er_golgi_cope,0.7864139581720034,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,er_ncln,0.5756356120109558,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,er_sec61b,0.7836642424265543,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,f-actin_phalloidin,0.6663854912751251,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,fe2+_ferhonox_live-cell_dye,0.8927026237050691,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,late_endosome_rab7a,0.8970698182781538,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,lipid_droplet_bodipy_live_cell_dye,0.8952631818751493,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,lipid_droplet_plin2,0.686861072232326,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,lysosome_lamp1,0.7135300246377787,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,lysosome_lysotracker_live-cell_dye,0.9114537147184214,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,microtubules_map4,0.7617694658537706,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,microtubules_tubulin,0.6461614268107547,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,mitochondria_chromalive_561_excitation,0.744818773617347,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,mitochondria_tomm20,0.6013984638369745,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,mitochondria_tomm70a,0.6878961955507596,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,nuclear_speckles_srrm2,0.8137195197244486,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,nuclei_hoechst,0.7124817887941995,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,nuclei_nucleolive_live_cell_dye,0.7110696063687405,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,nucleoli_npm1,0.48460952937602997,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,nucleolus-dfc_fbl,0.7333281591534615,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,nucleolus-gc_npm3,0.761000158637762,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,oxidative_stress_cellrox_live-cell_dye,0.6327408801764249,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,p21,0.49787522941827766,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,p53,0.4173744279394547,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,peroxisome_peroxi_spy650_live_cell_dye,0.7812990466753641,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,plasma_membrane_atp1b3,0.6679341783126196,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,plasma_membrane_slc3a2,0.8896461655696232,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,plasma_membrane_wga,0.6769811011022991,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,prb,0.41028111722165095,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,proteasome_psmb7,0.5217425005200009,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,ps6,0.5452416213136166,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,recycling_endosome_tfrc,0.837463054805994,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,stress_granule_g3bp1,0.9084457099437714,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,field_holdout_sanity,trans-golgi_vamp3,0.6454792318244775,Field,#5E88AD,2,Classical tabular
gbdt,GBDT,gene_holdout_main,5xupre,0.7477423223853111,Gene,#5E88AD,2,Classical tabular
gbdt,GBDT,gene_holdout_main,actin_filament_fastact_spy555_live_cell_dye,0.9224854697783786,Gene,#5E88AD,2,Classical tabular
gbdt,GBDT,gene_holdout_main,autophagosome_atg101,0.7116441092143455,Gene,#5E88AD,2,Classical tabular
gbdt,GBDT,gene_holdout_main,autophagosome_map1lc3b,0.9054478665192921,Gene,#5E88AD,2,Classical tabular
gbdt,GBDT,gene_holdout_main,b-catenin,0.5492394132943204,Gene,#5E88AD,2,Classical tabular
gbdt,GBDT,gene_holdout_main,c-myc,0.5410512558122476,Gene,#5E88AD,2,Classical tabular
gbdt,GBDT,gene_holdout_main,caspase_activity_cellevent-caspase_live-cell_dye,0.5907368256089589,Gene,#5E88AD,2,Classical tabular
gbdt,GBDT,gene_holdout_main,cell_proliferation_marker_mki67,0.707495278865099,Gene,#5E88AD,2,Classical tabular
gbdt,GBDT,gene_holdout_main,chaperones_hspa1b,0.8329041269918284,Gene,#5E88AD,2,Classical tabular
gbdt,GBDT,gene_holdout_main,chromalive_488_excitation,0.7687605676551661,Gene,#5E88AD,2,Classical tabular
