run_state,reporter_slug,method_id,reference_state,reference_method_id,reference_tier,tier,transition,exact_tier_changed,proxy_status_changed,reliability_pass,changed_gate_flags,n_changed_gate_flags,delta_recoverability_r,delta_magnitude_spearman,delta_variance_ratio,delta_top5pct_recall,delta_reliability
checkpoint_average,mitochondria_tomm20,ridge,checkpoint_average,coherent_median_ensemble,ranking_proxy,ranking_proxy,unchanged,False,False,True,,0,-0.01546138281020637,-0.003398643398643375,0.0193213190536195,0.040000000000000036,0.0
checkpoint_average,p53,ridge,checkpoint_average,coherent_median_ensemble,measurement_required,measurement_required,unchanged,False,False,True,,0,-0.01853929969587742,-0.008872544872544852,0.031515456158769495,0.06,0.0
checkpoint_average,caspase_activity_cellevent-caspase_live-cell_dye,ridge,checkpoint_average,coherent_median_ensemble,measurement_required,measurement_required,unchanged,False,False,True,variance_lower,1,-0.020733599051076412,-0.00108747708747714,0.1462389887398095,-0.019999999999999962,0.0
checkpoint_average,ps6,ridge,checkpoint_average,coherent_median_ensemble,measurement_required,measurement_required,unchanged,False,False,True,,0,-0.08275287793151298,-0.055792879792879835,0.004259648227735294,0.0,0.0
checkpoint_average,prb,ridge,checkpoint_average,coherent_median_ensemble,not_identifiable,not_identifiable,unchanged,False,False,False,rank;quantitative_hit;ranking_hit,3,-0.10328481476199608,-0.42614681414681416,0.1754829842356327,-0.45999999999999996,0.0
checkpoint_average,nuclei_hoechst,ridge,checkpoint_average,coherent_median_ensemble,not_identifiable,not_identifiable,unchanged,False,False,False,,0,-0.028831707770209825,-0.02371084771084775,-0.0018529484725157142,-0.020000000000000018,0.0
checkpoint_average,nucleoli_npm1,ridge,checkpoint_average,coherent_median_ensemble,not_identifiable,not_identifiable,unchanged,False,False,False,,0,-0.03527100611165934,-0.07569372369372368,-0.0920648459475884,-0.12,0.0
checkpoint_average,b-catenin,ridge,checkpoint_average,coherent_median_ensemble,not_identifiable,not_identifiable,unchanged,False,False,False,variance_lower,1,-0.08436273571688696,-0.046654894654894696,0.03604915479775417,0.0,0.0
checkpoint_average,c-myc,ridge,checkpoint_average,coherent_median_ensemble,not_identifiable,not_identifiable,unchanged,False,False,False,,0,-0.03770090854655117,-0.0028948108948109175,0.06943228341933438,0.020000000000000018,0.0
checkpoint_average,er_cona,ridge,checkpoint_average,coherent_median_ensemble,not_identifiable,not_identifiable,unchanged,False,False,False,recovery,1,-0.01919531673851471,-0.016782088782088755,0.02961992928894519,0.019999999999999907,0.0
checkpoint_average,microtubules_tubulin,ridge,checkpoint_average,coherent_median_ensemble,not_identifiable,not_identifiable,unchanged,False,False,False,,0,-0.02273201661441815,-0.021660201660201772,0.017711738126695686,0.0,0.0
checkpoint_average,nucleolus-dfc_fbl,ridge,checkpoint_average,coherent_median_ensemble,not_identifiable,not_identifiable,unchanged,False,False,False,,0,-0.06468524658071662,-0.04393222393222407,0.06034579380964422,0.019999999999999907,0.0
checkpoint_average,plasma_membrane_wga,ridge,checkpoint_average,coherent_median_ensemble,not_identifiable,not_identifiable,unchanged,False,False,False,quantitative_hit,1,-0.01647460965078551,-0.01808449808449808,0.0100245443746384,-0.020000000000000018,0.0
checkpoint_average,microtubules_map4,ridge,checkpoint_average,coherent_median_ensemble,unresolved,unresolved,unchanged,False,False,True,,0,-0.005798738318090857,0.009446757446757381,0.06336398981605051,0.020000000000000018,0.0
checkpoint_average,lipid_droplet_plin2,ridge,checkpoint_average,coherent_median_ensemble,unresolved,unresolved,unchanged,False,False,True,recovery;variance_lower,2,-0.06944773038872087,-0.020966936966936967,0.06341768321890145,0.0,0.0
checkpoint_average,cell_proliferation_marker_mki67,ridge,checkpoint_average,coherent_median_ensemble,unresolved,unresolved,unchanged,False,False,True,recovery,1,-0.05240840711201156,-0.021654549654549604,0.06472177796719125,-0.020000000000000018,0.0
checkpoint_average,stress_granule_g3bp1,gbdt,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,0.0012931882774105397,0.00016573216573223526,0.006976228815286367,0.0,0.0
checkpoint_average,lysosome_lysotracker_live-cell_dye,gbdt,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,0.0023873188775476173,0.0004667524667524292,0.022884455920952007,0.0,0.0
checkpoint_average,er_golgi_cop-ii_sec23a,gbdt,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,0.003250280983673748,-0.0032229872229871948,0.07939786251051517,0.0,0.0
checkpoint_average,early_endosome_eea1,gbdt,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,0.0028001033244989815,2.5800025800215565e-06,0.041168894240046994,-0.039999999999999925,0.0
checkpoint_average,lipid_droplet_bodipy_live_cell_dye,gbdt,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,0.0016699325334064152,0.0005063645063645428,0.03485940447034164,-0.020000000000000018,0.0
checkpoint_average,late_endosome_rab7a,gbdt,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,0.0018575448046185272,0.0011052131052129432,0.06390932629290291,0.0,0.0
checkpoint_average,actin_filament_fastact_spy555_live_cell_dye,gbdt,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,0.003830359214200163,0.00039795639795625615,0.04550444299622425,0.0,0.0
checkpoint_average,plasma_membrane_slc3a2,gbdt,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,-0.00019104459480923097,0.00021346821346801548,0.024825224690398495,0.0,0.0
checkpoint_average,clathrin_vesicles_clta,gbdt,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,0.00268738756098319,0.000939336939337343,0.05494731262844721,-0.020000000000000018,0.0
checkpoint_average,autophagosome_map1lc3b,gbdt,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,0.005287041548507454,0.0011045291045291838,0.05162588010962721,0.020000000000000018,0.0
checkpoint_average,fe2+_ferhonox_live-cell_dye,gbdt,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,0.015473867957445764,0.015325863325863387,0.08963679631933474,0.040000000000000036,0.0
checkpoint_average,recycling_endosome_tfrc,gbdt,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,0.007973455167451071,-0.0002689082689085742,0.03189931300675064,0.0,0.0
checkpoint_average,er_golgi_cope,gbdt,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,-0.0013633712769802742,0.0024019944019945116,0.044935781568069766,0.020000000000000018,0.0
checkpoint_average,chaperones_hspa1b,gbdt,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,-0.0002683291065348481,0.002965550965550956,0.05113848811829902,0.0,0.0
checkpoint_average,nucleolus-gc_npm3,gbdt,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,0.0032227680983181184,-0.0003522123522124998,0.10962729634705237,0.020000000000000018,0.0
checkpoint_average,nuclei_nucleolive_live_cell_dye,gbdt,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,-0.010124196004188235,-0.016732492732492776,0.042067398145057,0.020000000000000018,0.0
checkpoint_average,endosome_vps35,gbdt,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,0.005012874226016373,0.00866637266637249,0.07109906353962347,0.0,0.0
checkpoint_average,er_sec61b,gbdt,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,-0.0012146746579638767,0.0034956394956392467,0.04312710607714276,0.0,0.0
checkpoint_average,er_golgi_bridge_vapa,gbdt,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,0.0019868809572329837,0.006905694905694815,0.12733090913861855,0.020000000000000018,0.0
checkpoint_average,mitochondria_chromalive_561_excitation,gbdt,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,0.007653150465666614,0.003472083472083609,0.060566716752860295,0.0,0.0
checkpoint_average,peroxisome_peroxi_spy650_live_cell_dye,gbdt,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,0.011244798349264506,0.012850404850404784,0.05265864172186974,-0.020000000000000018,0.0
checkpoint_average,chromalive_488_excitation,gbdt,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,-0.005900904776523053,-0.0006463086463085466,0.08214658914066741,0.020000000000000018,0.0
checkpoint_average,chromatin_h2bc21,gbdt,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,0.008807836225657395,0.008789372789372751,0.07051451131797637,0.0,0.0
checkpoint_average,plasma_membrane_atp1b3,gbdt,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,-0.0005432058986167831,0.004094620094620249,0.08755077970246361,0.039999999999999925,0.0
checkpoint_average,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,gbdt,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,0.004343233897724064,0.006648474648474734,0.057500962499385744,0.0,0.0
checkpoint_average,5xupre,gbdt,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,-0.004011278499833959,0.0006722886722885235,0.060403140599928795,-0.040000000000000036,0.0
checkpoint_average,f-actin_phalloidin,gbdt,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,-0.005067586001447744,0.006747666747666803,0.00279579797374252,-0.020000000000000018,0.0
checkpoint_average,mitochondria_tomm70a,gbdt,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,0.0018916545836688003,-3.9480039479955487e-05,0.08905685625852389,0.039999999999999925,0.0
checkpoint_average,lysosome_lamp1,gbdt,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,-0.004171807628694291,0.0006513966513966851,0.09050886754764054,0.06000000000000005,0.0
checkpoint_average,autophagosome_atg101,gbdt,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,-0.0019941170511412754,-0.0048485448485448,0.09554558388422707,0.0,0.0
checkpoint_average,nuclear_speckles_srrm2,gbdt,checkpoint_average,coherent_median_ensemble,ranking_proxy,quantitative_proxy,R_to_Q,True,False,True,variance_lower,1,0.004014776112072127,0.003643395643395664,0.05754052638153595,0.0,0.0
