reporter_slug,fold,ensemble_recoverability_r,n_gene_screen_pairs,n_endpoints,n_methods,evaluation_state
microtubules_map4,2,0.7996861233045122,183,24,10,checkpoint_average
microtubules_map4,3,0.7952322072297439,197,24,10,checkpoint_average
microtubules_map4,4,0.8277335494556013,222,24,10,checkpoint_average
lipid_droplet_plin2,0,0.7431336506789824,422,24,10,checkpoint_average
lipid_droplet_plin2,1,0.7269951075271893,374,24,10,checkpoint_average
lipid_droplet_plin2,2,0.6974903043343893,366,24,10,checkpoint_average
lipid_droplet_plin2,3,0.6776025596696895,394,24,10,checkpoint_average
lipid_droplet_plin2,4,0.7461778532691928,444,24,10,checkpoint_average
cell_proliferation_marker_mki67,0,0.7033017737882289,422,24,10,checkpoint_average
cell_proliferation_marker_mki67,1,0.7280776534000366,374,24,10,checkpoint_average
cell_proliferation_marker_mki67,2,0.7654715198178766,366,24,10,checkpoint_average
cell_proliferation_marker_mki67,3,0.6193887844219689,394,24,10,checkpoint_average
cell_proliferation_marker_mki67,4,0.7052365655975583,444,24,10,checkpoint_average
