gene,n_targeting_cells
SCAP,130
SCN10A,104
SCN8A,132
SCYL1,116
SDC1,125
SEC16A,116
SEC22A,116
SEC22C,106
SEC23B,118
SEC23IP,107
SEC24A,135
SEC61A1,127
SEC61B,125
SEC61G,99
SEC63,146
SEL1L,114
SERINC3,107
SETD1B,109
SF3B3,150
SF3B5,111
SH3GL1,106
SH3KBP1,101
SIGLEC14,118
SKA3,90
SKAP1,148
SKP2,142
SLC25A24,116
SLC2A1,129
SLC2A8,114
SLC35B1,88
SLC35B2,86
SLC35C1,110
SLC38A2,123
SLC38A6,139
SLC39A7,106
SLC39A9,129
SLC4A1,94
SLC5A3,129
SLU7,147
SMARCC1,103
SMARCD1,101
SMC1A,150
SMC2,118
SMC3,119
SMU1,119
SNAPC2,129
SNRNP200,111
SNRNP40,124
SNRNP70,135
SNRPB2,122
SNRPC,108
SNRPD1,157
SNRPD2,126
SNRPD3,167
SNRPG,125
SNX32,100
SOCS1,109
SON,92
SPATA31A3,103
SPATA31A5,130
SPCS2,125
SPCS3,125
SPEN,121
SPHK2,111
SPRR2A,120
SPRR2B,129
SRP19,106
SRP54,108
SRP68,112
SRP72,94
SRPRA,105
SRPRB,138
SRSF3,123
SRSF7,157
SRSF8,146
SSBP3,105
SSX2IP,141
STAT5B,119
STK40,85
STMN1,111
STT3A,108
STT3B,139
STX5,125
STX8,138
STXBP1,128
STXBP3,124
SUV39H1,121
SYPL2,87
SYVN1,119
TAB2,115
TAF12,136
TAF1B,119
TAF6,124
TARDBP,113
TARS,119
TAS2R40,96
TBC1D3B,119
TBC1D3G,121
TBL3,135
TBP,112
TBPL1,122
TCP1,117
TEFM,139
TELO2,118
TERF1,120
TERF2,136
TERF2IP,108
TFIP11,120
TGFBR1,125
THG1L,132
THOC3,143
THOC7,89
THRA,112
TICAM1,96
TIMELESS,98
TIMM17B,110
TIMM23,120
TIMM44,116
TIPARP,121
TIPIN,110
TLR2,109
TLR3,132
TM2D2,91
TM7SF3,75
TMA16,129
TMED10,133
TMED2,120
TMED4,126
TMEM167A,102
TMEM63B,87
TMOD4,116
TMX2,138
TNFRSF1A,132
TNRC6A,138
TOMM20,133
TONSL,128
TOR2A,100
TPT1,122
TRAPPC11,83
TRAPPC2L,90
TRAPPC4,148
TRIM33,121
TRIM43,133
TRPC1,82
TSC1,113
TSC2,134
TSEN2,129
TSPAN31,104
TSR1,132
TSR2,108
TTI1,126
TTI2,133
TTN,113
TUBA1A,152
TUBB8,147
TUBGCP6,102
TWF1,111
TWSG1,92
TYK2,139
UBA52,115
UBAP2L,105
UBC,111
UBE2D3,118
UBE2M,106
UBE2N,114
UBN1,128
UBR4,172
UFL1,109
UFM1,107
UFSP2,120
UGT3A2,106
UHRF1,99
UQCC2,105
URB2,124
URM1,110
USH1G,143
USP10,103
USP14,90
USP17L12,105
USP17L5,114
USP18,122
USP36,106
USP39,119
UTP14A,123
VAMP2,87
VAMP4,135
VARS2,103
VMP1,90
VPS25,120
VPS26A,121
VPS29,90
VTI1A,109
VTI1B,117
VWA7,113
WASL,127
WBP4,118
WDR12,126
WDR36,110
WDR73,102
WRB,126
XAB2,146
XPO1,131
XPR1,112
XRN1,114
YAE1,130
YIPF5,108
ZBED2,133
ZBTB39,122
ZBTB7B,110
ZC3H4,110
ZCCHC9,130
ZFP69B,104
ZFR,114
ZMYM3,118
ZNF131,125
ZNF219,89
ZNF496,140
ZNF574,132
ZNF593,112
ZNF638,119
ZNF704,127
ZNRD1,110
ZRSR2,98
ZZZ3,107
