gene,n_targeting_cells
SLC2A8,97
SLC35B1,115
SLC35B2,70
SLC35C1,115
SLC38A2,85
SLC38A6,99
SLC39A7,87
SLC39A9,129
SLC4A1,98
SLC5A3,85
SLU7,80
SMARCC1,85
SMARCD1,84
SMC1A,91
SMC2,112
SMC3,94
SMU1,67
SNAPC2,78
SNRNP200,94
SNRNP40,103
SNRNP70,74
SNRPB2,101
SNRPC,63
SNRPD1,59
SNRPD2,68
SNRPD3,75
SNRPG,87
SNX32,58
SOCS1,113
SON,72
SPATA31A3,68
SPATA31A5,73
SPCS2,111
SPCS3,97
SPEN,84
SPHK2,87
SPRR2A,81
SPRR2B,58
SRP19,74
SRP54,81
SRP68,90
SRP72,93
SRPRA,86
SRPRB,78
SRSF3,89
SRSF7,85
SRSF8,93
SSBP3,63
SSX2IP,72
STAT5B,89
STK40,133
STMN1,130
STT3A,91
STT3B,75
STX5,70
STX8,74
STXBP1,104
STXBP3,86
SUV39H1,110
SYPL2,95
SYVN1,95
TAB2,65
TAF12,87
TAF1B,80
TAF6,95
TARDBP,62
TARS,90
TAS2R40,96
TBC1D3B,89
TBC1D3G,76
TBL3,90
TBP,89
TBPL1,80
TCP1,53
TEFM,85
TELO2,63
TERF1,103
TERF2,76
TERF2IP,67
TFIP11,80
TGFBR1,99
THG1L,75
THOC3,57
THOC7,81
THRA,94
TICAM1,76
TIMELESS,74
TIMM17B,71
TIMM23,71
TIMM44,88
TIPARP,111
TIPIN,79
TLR2,78
TLR3,104
TM2D2,86
TM7SF3,117
TMA16,102
TMED10,95
TMED2,99
TMED4,89
TMEM167A,92
TMEM63B,91
TMOD4,86
TMX2,92
TNFRSF1A,83
TNRC6A,76
TOMM20,87
TONSL,108
TOR2A,83
TPT1,99
TRAPPC11,109
TRAPPC2L,59
TRAPPC4,97
TRIM33,95
TRIM43,81
TRPC1,72
TSC1,85
TSC2,73
TSEN2,76
TSPAN31,91
TSR1,82
TSR2,82
TTI1,99
TTI2,91
TTN,88
TUBA1A,109
TUBB8,97
TUBGCP6,98
TWF1,96
TWSG1,94
TYK2,86
UBA52,65
UBAP2L,114
UBC,89
UBE2D3,78
UBE2M,67
UBE2N,111
UBN1,87
UBR4,71
UFL1,87
UFM1,87
UFSP2,60
UGT3A2,82
UHRF1,109
UQCC2,91
URB2,90
URM1,77
USH1G,71
USP10,76
USP14,75
USP17L12,89
USP17L5,43
USP18,101
USP36,87
USP39,86
UTP14A,76
VAMP2,89
VAMP4,90
VARS2,85
VMP1,110
VPS25,75
VPS26A,89
VPS29,114
VTI1A,87
VTI1B,74
