reporter_slug,modality,display_column,feature_class
prb,phase,83,phase2d_vesicular_dark
prb,phase,84,phase2d_tubular
prb,phase,85,phase2d_tubular
prb,phase,86,phase2d_tubular
prb,phase,87,phase2d_tubular
prb,phase,88,phase2d_vesicular_dark
prb,phase,89,phase2d_vesicular_dark
prb,phase,90,phase2d_tubular
prb,phase,91,phase2d_tubular
prb,phase,92,phase2d_vesicular
prb,phase,93,phase2d_vesicular
prb,phase,94,phase2d_vesicular_dark
prb,phase,95,phase2d_vesicular_dark
prb,phase,96,phase2d_vesicular_dark
prb,phase,97,phase2d_vesicular
prb,phase,98,phase2d_tubular
prb,phase,99,cell
prb,phase,100,phase2d_vesicular_dark
prb,phase,101,phase2d_vesicular_dark
prb,phase,102,phase2d_tubular
prb,phase,103,phase2d_vesicular
prb,phase,104,phase2d_vesicular_dark
prb,phase,105,phase2d_tubular
prb,phase,106,phase2d_tubular
prb,phase,107,phase2d_tubular
prb,phase,108,phase2d_vesicular
prb,phase,109,phase2d_vesicular
prb,phase,110,phase2d_vesicular
prb,phase,111,phase2d_tubular
prb,phase,112,phase2d_vesicular
prb,phase,113,phase2d_tubular
prb,phase,114,phase2d_vesicular
prb,phase,115,phase2d_vesicular
prb,phase,116,phase2d_vesicular
prb,phase,117,phase2d_vesicular
prb,phase,118,phase2d_tubular
prb,phase,119,phase2d_tubular
prb,phase,120,phase2d_tubular
prb,phase,121,phase2d_vesicular_dark
prb,phase,122,phase2d_vesicular_dark
prb,phase,123,phase2d_vesicular_dark
prb,phase,124,phase2d_vesicular_dark
prb,phase,125,phase2d_vesicular_dark
prb,phase,126,phase2d_vesicular_dark
prb,phase,127,phase2d_vesicular_dark
prb,phase,128,phase2d_vesicular_dark
prb,phase,129,phase2d_vesicular_dark
prb,phase,130,phase2d_tubular
prb,phase,131,phase2d_vesicular
prb,phase,132,phase2d_vesicular
prb,phase,133,phase2d_vesicular
prb,phase,134,phase2d_vesicular
prb,phase,135,phase2d_tubular
prb,phase,136,phase2d_tubular
prb,phase,137,phase2d_tubular
prb,phase,138,phase2d_vesicular_dark
prb,phase,139,phase2d_vesicular_dark
prb,phase,140,phase2d_vesicular_dark
prb,phase,141,phase2d_vesicular_dark
prb,phase,142,phase2d_vesicular_dark
prb,phase,143,phase2d_vesicular_dark
