reporter_slug,control,metric,exact_minus_control
lipid_droplet_plin2,covariate_matched_deranged,KO,0.41778938607118715
lysosome_lamp1,covariate_matched_deranged,KO,0.27836938897768654
lysosome_lysotracker_live-cell_dye,covariate_matched_deranged,KO,0.16791260068615288
microtubules_map4,covariate_matched_deranged,KO,0.2421311785777409
microtubules_tubulin,covariate_matched_deranged,KO,0.20404710612363297
mitochondria_chromalive_561_excitation,covariate_matched_deranged,KO,0.19560145946840446
mitochondria_tomm20,covariate_matched_deranged,KO,0.19524579818567472
mitochondria_tomm70a,covariate_matched_deranged,KO,0.212210850790143
nuclear_speckles_srrm2,covariate_matched_deranged,KO,0.45016091931611313
nuclei_hoechst,covariate_matched_deranged,KO,0.33241545200347905
nuclei_nucleolive_live_cell_dye,covariate_matched_deranged,KO,0.26170834278066957
nucleoli_npm1,covariate_matched_deranged,KO,0.2536090358376694
nucleolus-dfc_fbl,covariate_matched_deranged,KO,0.3955045154939096
nucleolus-gc_npm3,covariate_matched_deranged,KO,0.4246136472870906
oxidative_stress_cellrox_live-cell_dye,covariate_matched_deranged,KO,0.16688650730066001
p21,covariate_matched_deranged,KO,0.11766944703956445
p53,covariate_matched_deranged,KO,0.14082521844655294
peroxisome_peroxi_spy650_live_cell_dye,covariate_matched_deranged,KO,0.37926048046598837
plasma_membrane_atp1b3,covariate_matched_deranged,KO,0.2561378233134747
plasma_membrane_slc3a2,covariate_matched_deranged,KO,0.1932572717467944
plasma_membrane_wga,covariate_matched_deranged,KO,0.20000594566679675
prb,covariate_matched_deranged,KO,0.16909982071072582
proteasome_psmb7,covariate_matched_deranged,KO,0.1888492087212702
ps6,covariate_matched_deranged,KO,0.19161151269062737
recycling_endosome_tfrc,covariate_matched_deranged,KO,0.2531151997546356
stress_granule_g3bp1,covariate_matched_deranged,KO,0.2738622955977916
trans-golgi_vamp3,covariate_matched_deranged,KO,0.29418417331762614
5xupre,size_shape_only,Cell,0.4535441811382771
actin_filament_fastact_spy555_live_cell_dye,size_shape_only,Cell,0.6189929992581408
autophagosome_atg101,size_shape_only,Cell,0.4098169721663
autophagosome_map1lc3b,size_shape_only,Cell,0.634209172303478
b-catenin,size_shape_only,Cell,0.23659562999537842
c-myc,size_shape_only,Cell,0.17987140651792283
caspase_activity_cellevent-caspase_live-cell_dye,size_shape_only,Cell,0.30710141518308487
cell_proliferation_marker_mki67,size_shape_only,Cell,0.5718025868137677
chaperones_hspa1b,size_shape_only,Cell,0.5360244822998843
chromalive_488_excitation,size_shape_only,Cell,0.5997916086266438
chromatin_h2bc21,size_shape_only,Cell,0.4506035732415816
clathrin_vesicles_clta,size_shape_only,Cell,0.43715348100910584
