reporter_slug,arm,cell_pearson,gene_pearson
er_golgi_cop-ii_sec23a,size_shape_only,0.4344399060433109,0.4013724556886396
er_golgi_cope,covariate_matched_deranged,0.6780486707886061,0.5184029022852579
er_golgi_cope,crossfit_gene_screen_residual,0.7333207711577415,
er_golgi_cope,exact_pair,0.83749998336037,0.8314022888739905
er_golgi_cope,gene_screen_deranged,0.5928770184516907,0.2585614952258765
er_golgi_cope,remove_size_shape,0.8376287358502547,0.8333545575539272
er_golgi_cope,size_shape_only,0.212830859174331,0.3053863059108456
er_ncln,covariate_matched_deranged,0.3088319919382532,0.4025864244438707
er_ncln,crossfit_gene_screen_residual,0.5328014083206654,
er_ncln,exact_pair,0.5423569830134511,0.6572705126057068
er_ncln,gene_screen_deranged,0.0774264932462149,0.2292718256086421
er_ncln,remove_size_shape,0.5440698081006606,0.6508859710146984
er_ncln,size_shape_only,0.2840391602988044,0.3280565658584237
er_sec61b,covariate_matched_deranged,0.5396823885540167,0.5794913838307062
er_sec61b,crossfit_gene_screen_residual,0.7383345571657022,
er_sec61b,exact_pair,0.7581680220862229,0.8084788573284944
er_sec61b,gene_screen_deranged,0.2353510757636589,0.3243551032229637
er_sec61b,remove_size_shape,0.758513804525137,0.8087311791876951
er_sec61b,size_shape_only,0.4741063926368952,0.5014529157429933
f-actin_phalloidin,covariate_matched_deranged,0.3816772249009874,0.5329469703965717
f-actin_phalloidin,crossfit_gene_screen_residual,0.5859846695015827,
f-actin_phalloidin,exact_pair,0.5973769512441424,0.7475827967127164
f-actin_phalloidin,gene_screen_deranged,0.0778910098561027,0.1795011168817937
f-actin_phalloidin,remove_size_shape,0.5964525416493416,0.7465836596157815
f-actin_phalloidin,size_shape_only,0.3388910771606283,0.4835264641843322
fe2+_ferhonox_live-cell_dye,covariate_matched_deranged,0.913180503497521,0.5841787101545682
fe2+_ferhonox_live-cell_dye,crossfit_gene_screen_residual,0.84174675544103,
fe2+_ferhonox_live-cell_dye,exact_pair,0.956857910255591,0.9102582576374212
fe2+_ferhonox_live-cell_dye,gene_screen_deranged,0.8412571364703277,0.4481132470381756
fe2+_ferhonox_live-cell_dye,remove_size_shape,0.956576388825973,0.9103204709788164
fe2+_ferhonox_live-cell_dye,size_shape_only,0.250061057259639,0.2254542406182735
late_endosome_rab7a,covariate_matched_deranged,0.5388409473001957,0.5650837173064549
late_endosome_rab7a,crossfit_gene_screen_residual,0.857566662877798,
late_endosome_rab7a,exact_pair,0.8910075969994068,0.9233540832996368
late_endosome_rab7a,gene_screen_deranged,0.3524337814499934,0.3322775669628753
late_endosome_rab7a,remove_size_shape,0.8911029641826949,0.922892127931118
late_endosome_rab7a,size_shape_only,0.3175516049688061,0.335594813649853
lipid_droplet_bodipy_live_cell_dye,covariate_matched_deranged,0.5772290538996458,0.6279118873178959
lipid_droplet_bodipy_live_cell_dye,crossfit_gene_screen_residual,0.8378695406019687,
lipid_droplet_bodipy_live_cell_dye,exact_pair,0.8731923297047615,0.9281092363099256
lipid_droplet_bodipy_live_cell_dye,gene_screen_deranged,0.3488152887206525,0.5382194368711983
lipid_droplet_bodipy_live_cell_dye,remove_size_shape,0.8727718045314153,0.928798481822014
lipid_droplet_bodipy_live_cell_dye,size_shape_only,0.4581916971132159,0.4089067853676775
lipid_droplet_plin2,covariate_matched_deranged,0.6675232499837875,0.2850028546080769
lipid_droplet_plin2,crossfit_gene_screen_residual,0.649961203088363,
lipid_droplet_plin2,exact_pair,0.8206731838484606,0.702792240679264
lipid_droplet_plin2,gene_screen_deranged,0.6064247846603393,0.1317771316942525
lipid_droplet_plin2,remove_size_shape,0.8220517764488855,0.698927904292941
lipid_droplet_plin2,size_shape_only,0.2112466440846522,0.1533343054868358
lysosome_lamp1,covariate_matched_deranged,0.4376691597203413,0.4720088899135589
lysosome_lamp1,crossfit_gene_screen_residual,0.7009808979928493,
lysosome_lamp1,exact_pair,0.7370081414779027,0.7503782788912454
lysosome_lamp1,gene_screen_deranged,0.2657519807651017,0.2921798619679369
lysosome_lamp1,remove_size_shape,0.737501243998607,0.7529019246498744
lysosome_lamp1,size_shape_only,0.2618719974532723,0.3146244640132257
lysosome_lysotracker_live-cell_dye,covariate_matched_deranged,0.5939756271739801,0.7710759269694487
lysosome_lysotracker_live-cell_dye,crossfit_gene_screen_residual,0.8559765037149191,
lysosome_lysotracker_live-cell_dye,exact_pair,0.8932457673052946,0.9389885276556016
lysosome_lysotracker_live-cell_dye,gene_screen_deranged,0.419493615499232,0.6902029426263956
lysosome_lysotracker_live-cell_dye,remove_size_shape,0.8923371594399214,0.9380358949303628
lysosome_lysotracker_live-cell_dye,size_shape_only,0.3059761314342419,0.4613294928024212
microtubules_map4,covariate_matched_deranged,0.4755274385213852,0.5796241169174512
