panel,source_table,mark_id,reporter_slug,ensemble_recoverability_r,magnitude_spearman,amplitude_fidelity,within_screen_split_half_pearson_median,short_name,substitutability_tier,scientific_utility_index,outer_loo_prediction,selected_alpha,mean_utility,prediction_residual,label_flag,label_reason,predictor,label,rho,ci_low,ci_high,n_reporters,ci_method,bootstrap_reps,bootstrap_seed,outer_loo_r2,outer_loo_spearman,median_selected_alpha,reporter_short_name,biological_category_x,destination_screen,n_source_screens,n_source_control_cells,n_destination_control_cells,n_common_genes,phase_ntc_shift_rms_smd,phase_ntc_shift_median_abs_smd,phase_ntc_shift_p90_abs_smd,phenotype_ntc_shift_rms_smd,phenotype_ntc_shift_median_abs_smd,true_ko_response_rms_shift,true_ko_profile_cross_screen_pearson,true_ko_magnitude_cross_screen_spearman,consensus10_strict_gene_pearson,consensus10_strict_magnitude_spearman,consensus10_strict_cell_pearson,consensus10_gene_holdout_pearson,consensus10_gene_holdout_cell_pearson,biological_category_y,consensus10_screen_penalty_gene,consensus10_screen_penalty_cell,statistical_unit,inference_cluster,consensus_aggregation,gene_minus_strict_screen_pearson,ordered_direction_index,display_screen,display_label,biological_category,metric,metric_label,value,reporter_order,status,n_directions,minimum,median,maximum,range,stable_above_gate,crosses_gate,stable_below_gate,median_within_reporter_range,iqr25_within_reporter_range,iqr75_within_reporter_range,maximum_within_reporter_range,reporter_group_eta_squared_descriptive,gate,context,model,fraction,n_compounds,k,overlap,recall,recall_lower95,recall_upper95,random_expected_overlap,random_expected_recall,enrichment_over_random,random_overlap_lower95,random_overlap_upper95,random_selection_tail_probability,signed_spearman,signed_pearson,selected_reference_loss_mean,selected_reference_loss_min,selected_reference_loss_max,true_top_loss_mean,n_bootstrap,interpretation,measured_repeat_recall,measured_repeat_overlap,recall_difference_from_repeat,difference_lower95,difference_upper95
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:33,nuclear_speckles_srrm2,0.865553630356042,0.8712907272907273,0.49521327371758367,0.619391207547443,SRRM2,ranking_proxy,0.5171568627450981,0.6102410935066572,10.0,0.5636989781258777,0.09308423076155914,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:34,nuclei_hoechst,0.7552751627234884,0.670925242925243,0.6970531092744201,0.187063345712023,Hoechst,not_identifiable,0.13480392156862744,0.29701068874466274,10.0,0.21590730515664508,0.1622067671760353,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:35,nuclei_nucleolive_live_cell_dye,0.8274654823751895,0.8531728331728332,0.7928864032456882,0.6299969683630331,NucleoLIVE,quantitative_proxy,0.6348039215686274,0.6363853598455114,10.0,0.6355946407070694,0.0015814382768839508,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:36,nucleoli_npm1,0.5498100329077995,0.4887014367014367,0.4743451980311171,0.2156298259088717,NPM1,not_identifiable,0.26715686274509803,0.03116780747663883,10.0,0.14916233511086843,-0.2359890552684592,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:37,nucleolus-dfc_fbl,0.7957789914412075,0.8226278946278948,0.7610209142882526,0.2774818093462274,FBL,not_identifiable,0.5539215686274509,0.45772666112202176,10.0,0.5058241148747363,-0.09619490750542914,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:38,nucleolus-gc_npm3,0.8345335517417443,0.8472391992391993,0.8011097295184371,0.4003235836780205,NPM3,quantitative_proxy,0.7279411764705882,0.5415271016411307,10.0,0.6347341390558594,-0.1864140748294575,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:39,oxidative_stress_cellrox_live-cell_dye,0.6789181487433704,0.7922595482595484,0.7552727102266045,0.566358845982032,CellROX,ranking_proxy,0.8284313725490196,0.511735620822808,10.0,0.6700834966859137,-0.31669575172621156,True,four largest absolute outer-LOO residuals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:40,p21,0.6191052901211831,0.7383808383808383,0.24829383838262814,0.673271028808692,p21,ranking_proxy,0.4362745098039216,0.4233372060849125,10.0,0.42980585794441706,-0.012937303719009086,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:41,p53,0.5897136792901746,0.6648243888243889,0.1358458864429194,0.6790572976946833,p53,measurement_required,0.2867647058823529,0.3534198229682599,10.0,0.3200922644253064,0.06665511708590699,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:42,peroxisome_peroxi_spy650_live_cell_dye,0.8100131207326374,0.8792889512889513,0.8830879531925239,0.491094238791797,Peroxi_SPY650 live cell dye,quantitative_proxy,0.4068627450980392,0.6162487984399423,10.0,0.5115557717689907,0.20938605334190308,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:43,plasma_membrane_atp1b3,0.7553579532449395,0.787051375051375,0.810088999533144,0.5016975413704213,ATP1B3,quantitative_proxy,0.5294117647058824,0.5214315043702078,10.0,0.5254216345380451,-0.00798026033567456,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:44,plasma_membrane_slc3a2,0.9125596810075852,0.9344774504774508,0.8999707561799031,0.4535912492305982,SLC3A2,quantitative_proxy,0.6372549019607843,0.6691349462428848,10.0,0.6531949241018346,0.03188004428210056,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
