reporter_slug,n_genes,top_k,magnitude_spearman,magnitude_pearson,magnitude_variance_ratio,top5pct_recall,top5pct_jaccard,median_profile_pearson,median_profile_cosine,go_bp_top10_jaccard,go_bp_enrichment_spearman,go_cc_top10_jaccard,go_cc_enrichment_spearman,ebi_complex_top10_jaccard,ebi_complex_enrichment_spearman,statistical_unit,consensus_aggregation,marker,short_name,biological_category,n_screens,screen_ids,n_exact_assay_cell_links,within_screen_split_half_pearson_median,cross_screen_pearson_median,well_consistency,guide_half_consistency,random_half_consistency,amplitude_compressed
nucleolus-gc_npm3,1000,50,0.8472391992391993,0.9387227659851236,0.8011097295184373,0.86,0.7543859649122807,0.7578636393275748,0.8458471974318705,1.0,0.9124890599696114,0.8181818181818182,0.9748658346242806,0.6666666666666666,0.8507138065799063,reporter,unweighted_median_10_models,"nucleolus-GC, NPM3",NPM3,Nucleus,2,Biohub_OPS0042;Biohub_OPS0058,213118,0.4003235836780205,0.4767967734841842,,,0.3345004843839075,False
microtubules_map4,1000,50,0.6780510060510061,0.803502794872686,0.8142748720121702,0.66,0.4925373134328358,0.8704309231174209,0.8807363502251973,0.4285714285714285,0.6496709625412341,0.4285714285714285,0.7453416007454904,0.5384615384615384,0.7329372602204126,reporter,unweighted_median_10_models,"microtubules, MAP4",MAP4,Cytoskeleton,1,Biohub_OPS0046,153231,0.557891172634394,,,,0.3411448830411058,False
late_endosome_rab7a,1000,50,0.9536693216693218,0.9810906069079424,0.8287993930605024,0.96,0.9230769230769232,0.9471462951061111,0.9567192938669388,0.8181818181818182,0.9840120786407818,0.8181818181818182,0.997223835014384,0.8181818181818182,0.9449041741063908,reporter,unweighted_median_10_models,"late endosome, RAB7A",RAB7A,Endosome,2,Biohub_OPS0014;Biohub_OPS0026,124176,0.5437250794222616,0.5806218128816876,,,-0.1076137539154044,False
chromalive_488_excitation,1000,50,0.8282332562332563,0.8870458771281993,0.8162227429190112,0.72,0.5625,0.906808285228086,0.9088159484199771,0.8181818181818182,0.6411707129898976,0.5384615384615384,0.8009696336032115,0.8181818181818182,0.7621878715814506,reporter,unweighted_median_10_models,ChromaLIVE 488 excitation,ChromaLIVE 488 excitation,Mitochondria,2,Biohub_OPS0002;Biohub_OPS0051,188615,0.3255015696911665,0.306221734681592,,,0.523027207591009,False
er_golgi_bridge_vapa,1000,50,0.9081841521841524,0.9590726751052984,0.7683852696346999,0.88,0.7857142857142857,0.9530412278478152,0.94598093889497,0.8181818181818182,0.8799642117974149,1.0,0.9376578468323572,0.8181818181818182,0.8315745972611912,reporter,unweighted_median_10_models,"ER/golgi bridge, VAPA",VAPA,ER/Golgi,2,Biohub_OPS0020;Biohub_OPS0021,237525,0.6864386449976475,0.7694866705978605,0.7048207461580841,0.6486488167775594,0.826117980358082,False
fe2+_ferhonox_live-cell_dye,1000,50,0.93401305001305,0.96117605337435,0.7370803755819275,0.86,0.7543859649122807,0.9183220825545872,0.93278922401863,0.8181818181818182,0.9159562217488988,0.8181818181818182,0.9349550185103942,1.0,1.0,reporter,unweighted_median_10_models,"Fe2+, FeRhoNox live-cell dye",FeRhoNox live-cell dye,Signaling,2,Biohub_OPS0047;Biohub_OPS0067,211029,0.6070291514177555,0.5115315740494464,-0.0148487300906302,0.0154040793606453,0.3989611953933886,False
er_golgi_cop-ii_sec23a,1000,50,0.9429933669933668,0.9775827002822997,0.874519085676562,0.92,0.8518518518518519,0.9468501030230764,0.954346989294121,0.6666666666666666,0.9736911205128856,0.8181818181818182,0.9355372801236456,0.6666666666666666,0.8760471290783326,reporter,unweighted_median_10_models,"ER/Golgi COP-II, SEC23A",SEC23A,ER/Golgi,1,Biohub_OPS0035,130846,0.7963114253629393,,0.6161680913988538,0.6045031895437842,0.7855770096545338,False
peroxisome_peroxi_spy650_live_cell_dye,1000,50,0.8792889512889513,0.9240516146250276,0.8830879531925236,0.78,0.639344262295082,0.9232316277658712,0.9233160745137003,0.6666666666666666,0.7381079104078087,0.5384615384615384,0.7375003524454857,0.5384615384615384,0.617408045103042,reporter,unweighted_median_10_models,"peroxisome, Peroxi_SPY650 live cell dye",Peroxi_SPY650 live cell dye,Peroxisome,2,Biohub_OPS0045;Biohub_OPS0057,197625,0.491094238791797,0.562789265643651,,,0.1663774294327532,False
endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,1000,50,0.7996151716151716,0.8930548415183175,0.9039930888567944,0.86,0.7543859649122807,0.8761489878561225,0.8790162019835718,0.6666666666666666,0.9317229802105352,0.5384615384615384,0.9276305926781472,0.8181818181818182,0.9230847547918886,reporter,unweighted_median_10_models,"endocytic vesicle pH, pHrodo-dextran Live Cell Dye",pHrodo-dextran Live Cell Dye,Signaling,2,Biohub_OPS0053;Biohub_OPS0064,238077,0.4110300664564122,0.371973045067865,,,0.6260526771875503,False
5xupre,1000,50,0.8691121491121492,0.95952217381282,0.901870450508552,0.9,0.8181818181818182,0.8546453630474897,0.9215115417550126,0.8181818181818182,0.877570287937603,0.6666666666666666,0.9707053911022412,0.8181818181818182,0.9267910551748624,reporter,unweighted_median_10_models,5xUPRE,5xUPRE,Stress/PQC,6,Biohub_OPS0001;Biohub_OPS0005;Biohub_OPS0006;Biohub_OPS0007;Biohub_OPS0008;Biohub_OPS0009,433351,0.4085795923758126,0.5146882059582216,,,0.0422256334353751,False
plasma_membrane_slc3a2,1000,50,0.9344774504774508,0.9653490775856496,0.8999707561799031,0.88,0.7857142857142857,0.906128424512183,0.9397008658946616,0.5384615384615384,0.8367994375846022,0.6666666666666666,0.8778434535301796,0.8181818181818182,0.8371392035074899,reporter,unweighted_median_10_models,"plasma membrane, SLC3A2",SLC3A2,Plasma Membrane,2,Biohub_OPS0003;Biohub_OPS0004,145845,0.4535912492305982,0.4500201655132556,0.4184045581441393,0.5044021277239262,0.6375809262180705,False
autophagosome_map1lc3b,1000,50,0.9305271065271066,0.971654456485763,0.9347263774201356,0.86,0.7543859649122807,0.9472141659036472,0.9516756532726052,0.8181818181818182,0.8890336797914536,0.6666666666666666,0.8782993798041009,0.6666666666666666,0.8572705321685568,reporter,unweighted_median_10_models,"autophagosome, MAP1LC3B",MAP1LC3B,Lysosome,3,Biohub_OPS0016;Biohub_OPS0017;Biohub_OPS0040,359112,0.4661954595673966,0.426011165810057,,,0.2150767331516949,False
chaperones_hspa1b,1000,50,0.8072720072720073,0.9305531244198638,0.932221391997017,0.84,0.7241379310344828,0.8554180127055313,0.883190216804589,0.6666666666666666,0.860641147342223,0.8181818181818182,0.8190485172231634,0.8181818181818182,0.8857069474765635,reporter,unweighted_median_10_models,"chaperones, HSPA1B",HSPA1B,Stress/PQC,2,Biohub_OPS0028;Biohub_OPS0072,193356,0.3807492021518412,0.4496506427110658,,,0.0198570608595612,False
lysosome_lysotracker_live-cell_dye,1000,50,0.9877188397188398,0.9958218340720444,0.9303316834050304,0.92,0.8518518518518519,0.9715529522067072,0.9902308332328214,0.8181818181818182,0.9309112678544056,0.8181818181818182,0.8665373101825437,0.8181818181818182,0.9463628807321822,reporter,unweighted_median_10_models,"lysosome, LysoTracker live-cell dye",LysoTracker live-cell dye,Lysosome,3,Biohub_OPS0044;Biohub_OPS0055;Biohub_OPS0056,288734,0.8118267526031067,0.8204466370950083,,,0.8227655223191094,False
actin_filament_fastact_spy555_live_cell_dye,1000,50,0.9713158073158076,0.9863201242044762,0.934008721749014,0.94,0.8867924528301887,0.9604789769639126,0.970512278172975,0.8181818181818182,0.8757602919349777,0.8181818181818182,0.9451948572676953,0.8181818181818182,0.925583825422708,reporter,unweighted_median_10_models,"actin filament, FastAct_SPY555 Live Cell Dye",FastAct_SPY555 Live Cell Dye,Cytoskeleton,5,Biohub_OPS0033;Biohub_OPS0065;Biohub_OPS0072;Biohub_OPS0074;Biohub_OPS0076,521116,0.4815571491092879,0.45475664889027,,,0.3069824562313499,False
clathrin_vesicles_clta,1000,50,0.9554859914859912,0.9830740369316808,0.985584518519466,0.92,0.8518518518518519,0.9471946687296352,0.9591175379499276,0.6666666666666666,0.9309013875158004,0.8181818181818182,0.913416426904598,0.8181818181818182,0.9369458213656916,reporter,unweighted_median_10_models,"clathrin vesicles, CLTA",CLTA,Lysosome,2,Biohub_OPS0018;Biohub_OPS0019,170667,0.5686643877978657,0.6317620144208324,,,0.19202533548236,False
recycling_endosome_tfrc,1000,50,0.9551779391779394,0.9709645956989308,1.0244270122384225,0.92,0.8518518518518519,0.9579576333462136,0.9771202066969132,1.0,0.980529033442878,1.0,0.987009053216376,1.0,0.9997258897111464,reporter,unweighted_median_10_models,"recycling endosome, TFRC",TFRC,Endosome,2,Biohub_OPS0027;Biohub_OPS0060,240436,0.591056052462748,0.6576130240843253,0.0747769187369216,0.2262482864822812,0.4236574413784361,False
early_endosome_eea1,1000,50,0.9728429768429768,0.989438112824416,1.0018714671850175,0.96,0.9230769230769232,0.944683375859782,0.9686819594925083,1.0,0.9747272913650452,1.0,0.9904349690044798,1.0,1.0,reporter,unweighted_median_10_models,"early endosome, EEA1",EEA1,Endosome,1,Biohub_OPS0039,139936,0.7784811755482057,,0.6945369667562562,0.6630821359621683,0.8244275180417301,False
stress_granule_g3bp1,1000,50,0.9342547302547302,0.9600081082726613,1.043912150978496,0.88,0.7857142857142857,0.9272516167066662,0.952121975677541,0.25,0.956189829831418,0.6666666666666666,0.939451191690581,0.8181818181818182,0.8326849999455525,reporter,unweighted_median_10_models,"stress granule, G3BP1",G3BP1,Stress/PQC,1,Biohub_OPS0037,157307,0.5489821526032832,,0.2804423393326973,0.3498452616652168,0.5457500874588074,False
