target,screen,gene,representation,n_cells,n_guides,cross_guide_constraint,median_neighbour_phase_distance,median_neighbour_raw_fluor_difference,median_random_raw_fluor_difference,raw_fluor_discrepancy_ratio,median_neighbour_endpoint_rms,median_random_endpoint_rms,endpoint_discrepancy_ratio,case_order,representation_order,case_label,representation_label,log2_discrepancy_ratio
pRb,Biohub_OPS0077,CNOT1,phase172,24,4,True,0.859080022331059,5.403511632128592,2.304788174503736,2.3444721262907686,2.0690348148345947,2.1201603412628174,0.9758859872817992,2,0,"pRb
OPS0077",Engineered 172D,-0.03521548725411288
pRb,Biohub_OPS0077,CNOT10,phase172,24,4,True,0.7770709839916567,1.4596629748853762,1.2735393769280408,1.1461467162533223,1.5083272457122805,1.4228088855743408,1.060105323791504,2,0,"pRb
OPS0077",Engineered 172D,0.08420760682918364
pRb,Biohub_OPS0077,CNOT11,phase172,24,4,True,0.8104861808484342,3.4203765707835254,5.335207925473891,0.6410952709925951,1.3750944137573242,1.6164844036102295,0.8506697416305542,2,0,"pRb
OPS0077",Engineered 172D,-0.23332895661782507
pRb,Biohub_OPS0077,CNOT2,phase172,24,4,True,0.784784582105003,1.3072425476952851,1.9975571967255303,0.6544205842206497,1.5506629943847656,1.6391960382461548,0.9459899663925172,2,0,"pRb
OPS0077",Engineered 172D,-0.08010321313297089
pRb,Biohub_OPS0077,CNOT4,phase172,24,4,True,0.8554721214414849,5.22817576885028,8.618135073726037,0.6066481581136192,1.4569342136383057,1.5082526206970217,0.9659749269485474,2,0,"pRb
OPS0077",Engineered 172D,-0.04994235224084871
pRb,Biohub_OPS0077,COA4,phase172,24,4,True,0.883669804196944,1.221174115483418,0.9813146119577896,1.2444267114774663,1.800731182098389,1.4454188346862793,1.2458196878433228,2,0,"pRb
OPS0077",Engineered 172D,0.3170952768061105
pRb,Biohub_OPS0077,COA5,phase172,24,4,True,0.8614204093434112,4.180224284174626,7.773461795402432,0.5377558151307819,1.350614309310913,1.4666459560394287,0.9208863973617554,2,0,"pRb
OPS0077",Engineered 172D,-0.11890490173207348
pRb,Biohub_OPS0077,COG3,phase172,24,4,True,0.6751306690831647,6.48685972195514,3.564424500534807,1.8198897805190848,1.2754721641540527,1.4588652849197388,0.8742905855178833,2,0,"pRb
OPS0077",Engineered 172D,-0.1938152309402641
pRb,Biohub_OPS0077,COG4,phase172,24,4,True,0.9506341845191482,1.0498452258220636,1.4174908983162322,0.740636308190143,1.24143648147583,1.4591714143753052,0.8507817983627319,2,0,"pRb
OPS0077",Engineered 172D,-0.23313892629577967
pRb,Biohub_OPS0077,COG6,phase172,24,4,True,0.8817772768320994,1.3130917924502663,2.2920571727614245,0.5728878878131471,1.5790916681289673,1.702566146850586,0.9274774193763732,2,0,"pRb
OPS0077",Engineered 172D,-0.10861593698172428
pRb,Biohub_OPS0077,COG7,phase172,24,4,True,0.9303125501996587,2.771769112631355,1.4970557839236092,1.8514801802287355,2.288534164428711,2.2490434646606445,1.0175589323043823,2,0,"pRb
OPS0077",Engineered 172D,0.025112351131533775
pRb,Biohub_OPS0077,COG8,phase172,24,4,True,0.7736679280171352,1.837782922246857,5.465645399749196,0.3362426187273671,1.782961130142212,1.989723324775696,0.8960849642753601,2,0,"pRb
OPS0077",Engineered 172D,-0.15829256380169163
pRb,Biohub_OPS0077,COL18A1,phase172,24,4,True,0.7344440263588569,9.94575926245166,10.22701864261932,0.9724983995828892,2.1603589057922363,2.114426374435425,1.021723389625549,2,0,"pRb
OPS0077",Engineered 172D,0.031004669436196564
pRb,Biohub_OPS0077,COL9A1,phase172,24,4,True,0.8450363553757412,0.592978058981076,0.7056232210159631,0.8403607496466748,1.5194718837738037,1.4463199377059937,1.050577998161316,2,0,"pRb
OPS0077",Engineered 172D,0.07118327613111922
pRb,Biohub_OPS0077,COMMD4,phase172,24,4,True,0.8358678433118931,1.6485971317127404,1.446709776354831,1.1395493129704222,2.038674831390381,2.201397180557251,0.9260822534561156,2,0,"pRb
OPS0077",Engineered 172D,-0.11078775735955389
pRb,Biohub_OPS0077,COMMD5,phase172,24,4,True,0.8635783894102953,6.672386255279045,9.3680233215018,0.7122512430092228,1.1665624380111694,1.576143503189087,0.7401372194290161,2,0,"pRb
OPS0077",Engineered 172D,-0.4341353276086651
pRb,Biohub_OPS0077,COMTD1,phase172,24,4,True,0.7551266549394524,10.178548230532504,5.015900427030791,2.029256437324811,1.7747135162353516,2.1118760108947754,0.8403493165969849,2,0,"pRb
OPS0077",Engineered 172D,-0.2509389425136949
pRb,Biohub_OPS0077,COPA,phase172,24,4,True,0.8585062566873689,2.950400355524671,1.6863032830493037,1.7496261705602147,1.419764280319214,1.7124650478363037,0.82907634973526,2,0,"pRb
OPS0077",Engineered 172D,-0.27042312909825167
pRb,Biohub_OPS0077,COPB1,phase172,24,4,True,0.9074550051983395,0.2958081510173034,0.4740633596166367,0.6239844211046307,1.2715024948120115,1.2285139560699463,1.0349923372268677,2,0,"pRb
OPS0077",Engineered 172D,0.049620086482357564
pRb,Biohub_OPS0077,COPB2,phase172,24,4,True,0.7393630110569085,2.148045104627503,1.2091464818587778,1.776497005826283,1.3981643915176392,1.6875449419021606,0.8285198211669922,2,0,"pRb
OPS0077",Engineered 172D,-0.271391882585761
pRb,Biohub_OPS0077,COPS2,phase172,24,4,True,0.8960163145686307,0.8746072952618145,0.7206239009153291,1.2136806649778022,1.4258489608764648,1.2885924577713013,1.1065165996551514,2,0,"pRb
OPS0077",Engineered 172D,0.1460250942121591
pRb,Biohub_OPS0077,COPS3,phase172,24,4,True,0.8204552987371532,1.307439499823586,1.4116260178533322,0.926193965886104,1.251351833343506,1.2734490633010864,0.982647716999054,2,0,"pRb
OPS0077",Engineered 172D,-0.02525379737544529
pRb,Biohub_OPS0077,COPS4,phase172,24,4,True,0.8146338617821054,1.6533617474892903,0.92819813805478,1.7812594959027086,1.8462234735488887,1.900126338005066,0.9716319441795348,2,0,"pRb
OPS0077",Engineered 172D,-0.041518172892366
pRb,Biohub_OPS0077,COPS5,phase172,24,4,True,0.8786732931103418,0.8504702783810902,1.0308394951651132,0.8250268663259428,1.08897864818573,1.5344382524490356,0.7096920609474182,2,0,"pRb
OPS0077",Engineered 172D,-0.49473492733192764
pRb,Biohub_OPS0077,COPS6,phase172,24,4,True,0.8338021816866884,4.008947166287137,3.332775817629681,1.2028853381258506,1.2777929306030271,2.3066201210021973,0.5539676547050476,2,0,"pRb
OPS0077",Engineered 172D,-0.8521263528347895
pRb,Biohub_OPS0077,COPS8,phase172,24,4,True,0.7998192860673268,4.466277060655033,3.845805182921026,1.1613373138320895,1.508308172225952,1.904858350753784,0.7918217182159424,2,0,"pRb
OPS0077",Engineered 172D,-0.33675245650049307
pRb,Biohub_OPS0077,COPZ1,phase172,24,4,True,0.7793181754045214,0.8933900799980059,1.087539501221543,0.8214782810137332,1.2456214427947998,1.2693630456924438,0.9812964200973512,2,0,"pRb
OPS0077",Engineered 172D,-0.027239097883412673
pRb,Biohub_OPS0077,COQ10B,phase172,24,4,True,0.8692658382283517,3.494467131980469,3.6498778590581074,0.9574202937525852,1.7572362422943115,1.7916117906570437,0.9808130860328674,2,0,"pRb
OPS0077",Engineered 172D,-0.027949867256731594
pRb,Biohub_OPS0077,COQ4,phase172,24,4,True,0.8383020286622864,1.378554452742044,1.4744240740136831,0.934978258317051,1.301008701324463,1.4744203090667725,0.8823865652084351,2,0,"pRb
OPS0077",Engineered 172D,-0.18051726956858152
pRb,Biohub_OPS0077,COQ7,phase172,24,4,True,0.7156035985254363,7.422620938128301,5.547350743096015,1.3380478866179797,1.9288917779922483,2.121453762054444,0.9092311263084412,2,0,"pRb
OPS0077",Engineered 172D,-0.13728102115595703
pRb,Biohub_OPS0077,COX11,phase172,24,4,True,0.7825119912438314,1.1523518610190429,1.2606617166152077,0.9140849173345492,1.3264553546905518,1.297156810760498,1.022586703300476,2,0,"pRb
OPS0077",Engineered 172D,0.032223171889320945
pRb,Biohub_OPS0077,COX14,phase172,24,4,True,0.8843564019182282,5.257281074243469,5.876564393824888,0.8946181343248508,1.377619743347168,1.7200000286102295,0.8009417057037354,2,0,"pRb
OPS0077",Engineered 172D,-0.32023085094573983
pRb,Biohub_OPS0077,COX15,phase172,24,4,True,0.8920395985624807,11.364962160896807,10.882809998907945,1.0443040135807982,1.5246024131774902,1.5162376165390017,1.005516767501831,2,0,"pRb
OPS0077",Engineered 172D,0.007937139515015332
pRb,Biohub_OPS0077,COX7B,phase172,24,4,True,0.8488602758596409,0.7121891811140302,0.6150445658841933,1.1579472783247515,1.5273441076278689,1.904883861541748,0.8018043041229248,2,0,"pRb
OPS0077",Engineered 172D,-0.3186779329235822
pRb,Biohub_OPS0077,COX7C,phase172,24,4,True,0.8117729285647856,1.5465593831263322,1.8677991193519787,0.8280116245385646,1.8858294486999512,1.912729024887085,0.9859365224838256,2,0,"pRb
OPS0077",Engineered 172D,-0.020433330277870806
pRb,Biohub_OPS0077,CPOX,phase172,24,4,True,0.7858489327069293,1.6521204812447432,1.2794316314020358,1.291292508873104,1.3067623376846311,1.4254233837127686,0.9167538285255432,2,0,"pRb
OPS0077",Engineered 172D,-0.12539370898911023
