reporter_slug,ensemble_recoverability_r,magnitude_spearman,amplitude_fidelity,within_screen_split_half_pearson_median,short_name,substitutability_tier,scientific_utility_index,outer_loo_prediction,selected_alpha,mean_utility,prediction_residual,label_flag,label_reason
nuclei_hoechst,0.7552751627234884,0.670925242925243,0.6970531092744201,0.187063345712023,Hoechst,not_identifiable,0.13480392156862744,0.29701068874466274,10.0,0.21590730515664508,0.1622067671760353,False,
nuclei_nucleolive_live_cell_dye,0.8274654823751895,0.8531728331728332,0.7928864032456882,0.6299969683630331,NucleoLIVE,quantitative_proxy,0.6348039215686274,0.6363853598455114,10.0,0.6355946407070694,0.0015814382768839508,False,
nucleoli_npm1,0.5498100329077995,0.4887014367014367,0.4743451980311171,0.2156298259088717,NPM1,not_identifiable,0.26715686274509803,0.03116780747663883,10.0,0.14916233511086843,-0.2359890552684592,False,
nucleolus-dfc_fbl,0.7957789914412075,0.8226278946278948,0.7610209142882526,0.2774818093462274,FBL,not_identifiable,0.5539215686274509,0.45772666112202176,10.0,0.5058241148747363,-0.09619490750542914,False,
nucleolus-gc_npm3,0.8345335517417443,0.8472391992391993,0.8011097295184371,0.4003235836780205,NPM3,quantitative_proxy,0.7279411764705882,0.5415271016411307,10.0,0.6347341390558594,-0.1864140748294575,False,
oxidative_stress_cellrox_live-cell_dye,0.6789181487433704,0.7922595482595484,0.7552727102266045,0.566358845982032,CellROX,ranking_proxy,0.8284313725490196,0.511735620822808,10.0,0.6700834966859137,-0.31669575172621156,True,four largest absolute outer-LOO residuals
p21,0.6191052901211831,0.7383808383808383,0.24829383838262814,0.673271028808692,p21,ranking_proxy,0.4362745098039216,0.4233372060849125,10.0,0.42980585794441706,-0.012937303719009086,False,
p53,0.5897136792901746,0.6648243888243889,0.1358458864429194,0.6790572976946833,p53,measurement_required,0.2867647058823529,0.3534198229682599,10.0,0.3200922644253064,0.06665511708590699,False,
peroxisome_peroxi_spy650_live_cell_dye,0.8100131207326374,0.8792889512889513,0.8830879531925239,0.491094238791797,Peroxi_SPY650 live cell dye,quantitative_proxy,0.4068627450980392,0.6162487984399423,10.0,0.5115557717689907,0.20938605334190308,False,
plasma_membrane_atp1b3,0.7553579532449395,0.787051375051375,0.810088999533144,0.5016975413704213,ATP1B3,quantitative_proxy,0.5294117647058824,0.5214315043702078,10.0,0.5254216345380451,-0.00798026033567456,False,
plasma_membrane_slc3a2,0.9125596810075852,0.9344774504774508,0.8999707561799031,0.4535912492305982,SLC3A2,quantitative_proxy,0.6372549019607843,0.6691349462428848,10.0,0.6531949241018346,0.03188004428210056,False,
plasma_membrane_wga,0.7535324862592845,0.7645170085170087,0.6043069062375509,0.2955940866884624,WGA,not_identifiable,0.22549019607843135,0.390490767471353,10.0,0.3079904817748922,0.16500057139292162,False,
prb,0.5147917575055067,0.7083289323289323,0.01694074242477279,0.1509084849662904,pRb,not_identifiable,0.4534313725490196,0.03665305080869352,10.0,0.24504221167885656,-0.4167783217403261,True,four largest absolute outer-LOO residuals
proteasome_psmb7,0.6036111647146251,0.8499032139032139,0.851693631535629,0.4309405843280984,PSMB7,ranking_proxy,0.26715686274509803,0.6714233432528339,1.0,0.469290102998966,0.4042664805077359,True,four largest absolute outer-LOO residuals
ps6,0.5893811845368762,0.6643925683925684,0.06743305898285902,0.3470813638953472,pS6,measurement_required,0.09803921568627452,0.2080431203372664,10.0,0.15304116801177048,0.11000390465099188,False,
recycling_endosome_tfrc,0.8749470277911986,0.9551779391779394,0.9761554391414883,0.591056052462748,TFRC,quantitative_proxy,0.9509803921568627,0.7403755882898996,10.0,0.8456779902233811,-0.21060480386696312,False,
stress_granule_g3bp1,0.9324876788211308,0.9342547302547302,0.9579350130781258,0.5489821526032832,G3BP1,quantitative_proxy,0.5906862745098039,0.7243019760450735,10.0,0.6574941252774387,0.13361570153526958,False,
trans-golgi_vamp3,0.6824360548684879,0.7384963864963865,0.7688269382820128,0.565576846698852,VAMP3,ranking_proxy,0.8014705882352942,0.4687072944285524,10.0,0.6350889413319233,-0.33276329380674174,True,four largest absolute outer-LOO residuals
