split_label,unit,consensus,lo,hi,q25,q75,n_methods
Gene,er_ncln,0.6531121644501885,0.48216002540042,0.6606418296694756,0.6375740223408987,0.656618180933098,10
Gene,er_sec61b,0.8011578214665254,0.7332080513238907,0.8138996280729771,0.7996831960976124,0.8083122065290809,10
Gene,f-actin_phalloidin,0.7399577975273133,0.6250521264970302,0.755171848502424,0.7194705490643779,0.745590595735444,10
Gene,fe2+_ferhonox_live-cell_dye,0.871222957285742,0.5452227740664967,0.9250634253025056,0.7575910921567507,0.9037201910590134,10
Gene,late_endosome_rab7a,0.9105539268503586,0.7958817472060521,0.9234638750553132,0.8602927477409442,0.9163275976975759,10
Gene,lipid_droplet_bodipy_live_cell_dye,0.9148503104845682,0.7987582918256522,0.9287840249637762,0.9103921910127004,0.9237137917429208,10
Gene,lipid_droplet_plin2,0.697941415819029,0.5632928664485612,0.713672187551856,0.6840829837446413,0.7034096801032623,10
Gene,lysosome_lamp1,0.7367389331261318,0.53807059066991,0.763378053655227,0.7267673581838607,0.7457144187763333,10
Gene,lysosome_lysotracker_live-cell_dye,0.9248392219344774,0.8486258246004581,0.9388250542183718,0.8887743149263163,0.929110796749592,10
Gene,microtubules_map4,0.8168677599479754,0.7322896155218283,0.823344656576713,0.7788503807658951,0.8203700067475438,10
Gene,microtubules_tubulin,0.71860714521673,0.6036871477560555,0.731463721063402,0.6918253014485042,0.7233360155899492,10
Gene,mitochondria_chromalive_561_excitation,0.792696370681127,0.620145630898575,0.8209515526890755,0.7802858006209136,0.806920096774896,10
Gene,mitochondria_tomm20,0.68048119072078,0.54052228236364,0.696421266078121,0.661625951140498,0.6887009676442378,10
Gene,mitochondria_tomm70a,0.7389631509780884,0.5680079168329637,0.7527483257154624,0.7300273325915138,0.7492019094526767,10
Gene,nuclear_speckles_srrm2,0.8493885807693005,0.6227793050309023,0.8776929159959158,0.8312417624518276,0.8690576036771138,10
Gene,nuclei_hoechst,0.7314091514050961,0.5314720343798399,0.7667056552569071,0.7196403332302967,0.7497251252084971,10
Gene,nuclei_nucleolive_live_cell_dye,0.8201554869612058,0.1349555561513019,0.8496820899347464,0.7207894610551496,0.8381893428042531,10
Gene,nucleoli_npm1,0.5333916893642809,0.3838638638999933,0.5514786770981219,0.49655318279854127,0.5424973476988574,10
Gene,nucleolus-dfc_fbl,0.7793305455396573,0.6032699280728896,0.801021264741818,0.7502533475557963,0.7951266796638568,10
