reporter_slug,method_id,fold,n_keys,max_truth_delta,reordered,run_state
late_endosome_rab7a,mlp,2,366,0.0,False,checkpoint_average
late_endosome_rab7a,tabm_specialists,2,366,0.0,False,checkpoint_average
late_endosome_rab7a,scbutterfly_ops_b,2,366,0.0,False,checkpoint_average
late_endosome_rab7a,resmlp_52head,2,366,0.0,False,checkpoint_average
late_endosome_rab7a,multitab_pilot,2,366,0.0,False,checkpoint_average
late_endosome_rab7a,midas_ops,2,366,0.0,False,checkpoint_average
late_endosome_rab7a,scpair_ops,2,366,0.0,False,checkpoint_average
late_endosome_rab7a,ridge,3,394,0.0,False,checkpoint_average
late_endosome_rab7a,gbdt,3,394,0.0,False,checkpoint_average
late_endosome_rab7a,catboost_multirmse,3,394,0.0,False,checkpoint_average
late_endosome_rab7a,mlp,3,394,0.0,False,checkpoint_average
late_endosome_rab7a,tabm_specialists,3,394,0.0,False,checkpoint_average
late_endosome_rab7a,scbutterfly_ops_b,3,394,0.0,False,checkpoint_average
late_endosome_rab7a,resmlp_52head,3,394,0.0,False,checkpoint_average
late_endosome_rab7a,multitab_pilot,3,394,0.0,False,checkpoint_average
late_endosome_rab7a,midas_ops,3,394,0.0,False,checkpoint_average
late_endosome_rab7a,scpair_ops,3,394,0.0,False,checkpoint_average
late_endosome_rab7a,ridge,4,444,0.0,False,checkpoint_average
late_endosome_rab7a,gbdt,4,444,0.0,False,checkpoint_average
late_endosome_rab7a,catboost_multirmse,4,444,0.0,False,checkpoint_average
late_endosome_rab7a,mlp,4,444,0.0,False,checkpoint_average
late_endosome_rab7a,tabm_specialists,4,444,0.0,False,checkpoint_average
late_endosome_rab7a,scbutterfly_ops_b,4,444,0.0,False,checkpoint_average
late_endosome_rab7a,resmlp_52head,4,444,0.0,False,checkpoint_average
late_endosome_rab7a,multitab_pilot,4,444,0.0,False,checkpoint_average
late_endosome_rab7a,midas_ops,4,444,0.0,False,checkpoint_average
late_endosome_rab7a,scpair_ops,4,444,0.0,False,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,ridge,0,1055,0.0,False,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,gbdt,0,1055,0.0,False,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,catboost_multirmse,0,1055,0.0,False,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,mlp,0,1055,0.0,False,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,tabm_specialists,0,1055,0.0,False,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,scbutterfly_ops_b,0,1055,0.0,False,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,resmlp_52head,0,1055,0.0,False,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,multitab_pilot,0,1055,0.0,False,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,midas_ops,0,1055,0.0,False,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,scpair_ops,0,1055,0.0,False,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,ridge,1,935,0.0,False,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,gbdt,1,935,0.0,False,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,catboost_multirmse,1,935,0.0,False,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,mlp,1,935,0.0,False,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,tabm_specialists,1,935,0.0,False,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,scbutterfly_ops_b,1,935,0.0,False,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,resmlp_52head,1,935,0.0,False,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,multitab_pilot,1,935,0.0,False,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,midas_ops,1,935,0.0,False,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,scpair_ops,1,935,0.0,False,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,ridge,2,915,0.0,False,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,gbdt,2,915,0.0,False,checkpoint_average
