reporter_slug,method_id,fold,recoverability_r,n_gene_screen_pairs,n_endpoints,run_state
lipid_droplet_bodipy_live_cell_dye,catboost_multirmse,4,0.9171327133977176,444,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,mlp,4,0.933102998126567,444,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,tabm_specialists,4,0.9225022061313908,444,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,scbutterfly_ops_b,4,0.8492799303913087,444,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,resmlp_52head,4,0.9265268076805544,444,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,multitab_pilot,4,0.9177056595836294,444,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,midas_ops,4,0.8187572317505177,444,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,scpair_ops,4,0.9214356635452255,444,24,checkpoint_average
late_endosome_rab7a,ridge,0,0.9027076991432008,422,24,checkpoint_average
late_endosome_rab7a,gbdt,0,0.9209696026479284,422,24,checkpoint_average
late_endosome_rab7a,catboost_multirmse,0,0.9098655221849216,422,24,checkpoint_average
late_endosome_rab7a,mlp,0,0.9242462510599966,422,24,checkpoint_average
late_endosome_rab7a,tabm_specialists,0,0.919448729664729,422,24,checkpoint_average
late_endosome_rab7a,scbutterfly_ops_b,0,0.8656178220270977,422,24,checkpoint_average
late_endosome_rab7a,resmlp_52head,0,0.917091305467054,422,24,checkpoint_average
late_endosome_rab7a,multitab_pilot,0,0.9126349783041778,422,24,checkpoint_average
late_endosome_rab7a,midas_ops,0,0.8068509237559433,422,24,checkpoint_average
late_endosome_rab7a,scpair_ops,0,0.9097819698946956,422,24,checkpoint_average
late_endosome_rab7a,ridge,1,0.902054396245728,374,24,checkpoint_average
late_endosome_rab7a,gbdt,1,0.9237657988953109,374,24,checkpoint_average
late_endosome_rab7a,catboost_multirmse,1,0.9146299457504766,374,24,checkpoint_average
