reporter_slug,endpoint_index,endpoint_name,fold,common_control_scale,fold_target_scale,fold_to_common_factor
stress_granule_g3bp1,0,op_gfp_intensity_min_mean,0,21.013599243814408,21.386615753173828,1.0177511955487217
stress_granule_g3bp1,1,op_gfp_intensity_min_median,0,21.536924710460692,21.925397872924805,1.0180375409993159
stress_granule_g3bp1,2,op_gfp_intensity_min_std,0,6.07604447832933,6.090993881225586,1.0024603840458335
stress_granule_g3bp1,3,op_gfp_intensity_min_sum,0,4322.991005795852,5182.4453125,1.1988101075278375
stress_granule_g3bp1,4,op_gfp_intensity_min_min,0,13.712866674419507,13.79770565032959,1.0061868154868263
stress_granule_g3bp1,5,op_gfp_intensity_min_max,0,33.37509092901142,34.08966064453125,1.0214102702233745
stress_granule_g3bp1,6,op_gfp_intensity_max_mean,0,29.251948816824342,29.414958953857422,1.0055726248549746
stress_granule_g3bp1,7,op_gfp_intensity_max_median,0,29.47781840882513,29.38776206970215,0.9969449455901384
stress_granule_g3bp1,8,op_gfp_intensity_max_std,0,10.990423045699432,11.268613815307617,1.0253121075004517
stress_granule_g3bp1,9,op_gfp_intensity_max_sum,0,5976.516750121481,7133.23193359375,1.193543368459355
stress_granule_g3bp1,10,op_gfp_intensity_max_min,0,20.98354591756419,21.298870086669922,1.015027210860572
stress_granule_g3bp1,11,op_gfp_intensity_max_max,0,56.999212885077576,58.89445495605469,1.0332503200491263
stress_granule_g3bp1,12,op_gfp_intensity_mean_mean,0,25.520222397379072,25.746057510375977,1.0088492611655335
stress_granule_g3bp1,13,op_gfp_intensity_mean_median,0,26.310418215721448,26.466506958007812,1.0059325830933807
stress_granule_g3bp1,14,op_gfp_intensity_mean_std,0,7.303475616438603,7.420178413391113,1.0159790766864254
stress_granule_g3bp1,15,op_gfp_intensity_mean_sum,0,5180.720942801539,6189.2373046875,1.1946671849382786
stress_granule_g3bp1,16,op_gfp_intensity_mean_min,0,18.413934147656597,18.67755889892578,1.0143165903144458
stress_granule_g3bp1,17,op_gfp_intensity_mean_max,0,38.60142556678568,40.087059020996094,1.0384864919467824
stress_granule_g3bp1,18,op_gfp_intensity_range_mean,0,11.535854843783431,11.3403902053833,0.9830559034378398
stress_granule_g3bp1,19,op_gfp_intensity_range_median,0,9.561113501266465,9.170641899108887,0.959160446938962
stress_granule_g3bp1,20,op_gfp_intensity_range_std,0,11.023725233419853,11.238770484924316,1.0195074937873565
stress_granule_g3bp1,21,op_gfp_intensity_range_sum,0,1679.4917206660646,1975.07177734375,1.1759937563493688
stress_granule_g3bp1,22,op_gfp_intensity_range_min,0,8.119468474038003,8.075332641601562,0.9945641968341198
stress_granule_g3bp1,23,op_gfp_intensity_range_max,0,47.455736416543346,49.00413131713867,1.032628192448733
stress_granule_g3bp1,0,op_gfp_intensity_min_mean,1,21.013599243814408,21.39374542236328,1.0180904838879885
stress_granule_g3bp1,1,op_gfp_intensity_min_median,1,21.536924710460692,21.926414489746094,1.0180847444341123
stress_granule_g3bp1,2,op_gfp_intensity_min_std,1,6.07604447832933,6.083986282348633,1.0013070681176919
stress_granule_g3bp1,3,op_gfp_intensity_min_sum,1,4322.991005795852,5209.10595703125,1.2049772831003764
stress_granule_g3bp1,4,op_gfp_intensity_min_min,1,13.712866674419507,13.757593154907227,1.0032616433565387
stress_granule_g3bp1,5,op_gfp_intensity_min_max,1,33.37509092901142,34.17057418823242,1.0238346394594995
stress_granule_g3bp1,6,op_gfp_intensity_max_mean,1,29.251948816824342,29.408058166503906,1.0053367162187081
stress_granule_g3bp1,7,op_gfp_intensity_max_median,1,29.47781840882513,29.396556854248047,0.997243298216643
stress_granule_g3bp1,8,op_gfp_intensity_max_std,1,10.990423045699432,11.307289123535156,1.028831108367545
stress_granule_g3bp1,9,op_gfp_intensity_max_sum,1,5976.516750121481,7175.08544921875,1.2005463632429219
stress_granule_g3bp1,10,op_gfp_intensity_max_min,1,20.98354591756419,21.20354461669922,1.0104843433040018
stress_granule_g3bp1,11,op_gfp_intensity_max_max,1,56.999212885077576,59.14800262451172,1.0376985861851558
stress_granule_g3bp1,12,op_gfp_intensity_mean_mean,1,25.520222397379072,25.754480361938477,1.0091793073317208
stress_granule_g3bp1,13,op_gfp_intensity_mean_median,1,26.310418215721448,26.482555389404297,1.0065425479850407
stress_granule_g3bp1,14,op_gfp_intensity_mean_std,1,7.303475616438603,7.447012901306152,1.0196532846011668
stress_granule_g3bp1,15,op_gfp_intensity_mean_sum,1,5180.720942801539,6223.35693359375,1.201253069274253
stress_granule_g3bp1,16,op_gfp_intensity_mean_min,1,18.413934147656597,18.613136291503906,1.0108180110914897
stress_granule_g3bp1,17,op_gfp_intensity_mean_max,1,38.60142556678568,40.10884094238281,1.0390507695885247
stress_granule_g3bp1,18,op_gfp_intensity_range_mean,1,11.535854843783431,11.303970336914062,0.9798988016051251
stress_granule_g3bp1,19,op_gfp_intensity_range_median,1,9.561113501266465,9.07119083404541,0.948758827394303
stress_granule_g3bp1,20,op_gfp_intensity_range_std,1,11.023725233419853,11.242138862609863,1.0198130509029617
stress_granule_g3bp1,21,op_gfp_intensity_range_sum,1,1679.4917206660646,1990.7550048828125,1.1853318360469827
stress_granule_g3bp1,22,op_gfp_intensity_range_min,1,8.119468474038003,8.098368644714355,0.9974013287457038
stress_granule_g3bp1,23,op_gfp_intensity_range_max,1,47.455736416543346,49.337890625,1.0396612580602695
stress_granule_g3bp1,0,op_gfp_intensity_min_mean,2,21.013599243814408,21.460718154907227,1.0212775977073243
stress_granule_g3bp1,1,op_gfp_intensity_min_median,2,21.536924710460692,21.980361938476562,1.0205896261410288
stress_granule_g3bp1,2,op_gfp_intensity_min_std,2,6.07604447832933,6.1168904304504395,1.006722457721761
stress_granule_g3bp1,3,op_gfp_intensity_min_sum,2,4322.991005795852,5263.9453125,1.2176627953753794
stress_granule_g3bp1,4,op_gfp_intensity_min_min,2,13.712866674419507,13.755298614501953,1.003094315804995
stress_granule_g3bp1,5,op_gfp_intensity_min_max,2,33.37509092901142,34.381690979003906,1.0301602189529167
stress_granule_g3bp1,6,op_gfp_intensity_max_mean,2,29.251948816824342,29.526891708374023,1.00939913074754
stress_granule_g3bp1,7,op_gfp_intensity_max_median,2,29.47781840882513,29.515779495239258,1.0012877847976283
stress_granule_g3bp1,8,op_gfp_intensity_max_std,2,10.990423045699432,11.388094902038574,1.0361834894512776
stress_granule_g3bp1,9,op_gfp_intensity_max_sum,2,5976.516750121481,7254.48388671875,1.213831432258814
stress_granule_g3bp1,10,op_gfp_intensity_max_min,2,20.98354591756419,21.204286575317383,1.0105197023715817
stress_granule_g3bp1,11,op_gfp_intensity_max_max,2,56.999212885077576,59.3828010559082,1.0418179137953438
stress_granule_g3bp1,12,op_gfp_intensity_mean_mean,2,25.520222397379072,25.848915100097656,1.0128796958584632
stress_granule_g3bp1,13,op_gfp_intensity_mean_median,2,26.310418215721448,26.578109741210938,1.0101743546337676
stress_granule_g3bp1,14,op_gfp_intensity_mean_std,2,7.303475616438603,7.481082439422607,1.024318123632021
stress_granule_g3bp1,15,op_gfp_intensity_mean_sum,2,5180.720942801539,6291.10107421875,1.2143292687787115
stress_granule_g3bp1,16,op_gfp_intensity_mean_min,2,18.413934147656597,18.595006942749023,1.0098334659850767
stress_granule_g3bp1,17,op_gfp_intensity_mean_max,2,38.60142556678568,40.253639221191406,1.0428018817996028
stress_granule_g3bp1,18,op_gfp_intensity_range_mean,2,11.535854843783431,11.368505477905273,0.9854931109879264
stress_granule_g3bp1,19,op_gfp_intensity_range_median,2,9.561113501266465,9.167864799499512,0.9588699891790988
stress_granule_g3bp1,20,op_gfp_intensity_range_std,2,11.023725233419853,11.306357383728027,1.025638533646624
stress_granule_g3bp1,21,op_gfp_intensity_range_sum,2,1679.4917206660646,2016.219482421875,1.2004938503788924
stress_granule_g3bp1,22,op_gfp_intensity_range_min,2,8.119468474038003,8.119840621948242,1.0000458340236715
stress_granule_g3bp1,23,op_gfp_intensity_range_max,2,47.455736416543346,49.551998138427734,1.0441729889825
stress_granule_g3bp1,0,op_gfp_intensity_min_mean,3,21.013599243814408,21.48122215270996,1.022253346676591
stress_granule_g3bp1,1,op_gfp_intensity_min_median,3,21.536924710460692,22.01778793334961,1.0223273856111572
stress_granule_g3bp1,2,op_gfp_intensity_min_std,3,6.07604447832933,6.133184909820557,1.0094042154719278
stress_granule_g3bp1,3,op_gfp_intensity_min_sum,3,4322.991005795852,5258.6298828125,1.2164332231462505
